"xsd","eta_setting","method","param","avgBias","avgSEE","avgSEM","avgCI","n"
0.5,0.4,"Naive (ADVI)","beta1",0.163,0.231,0.251,1,2
1,0.4,"Naive (ADVI)","beta1",0.315,0.446,0.31,0.5,2
0.5,0.4,"Proposed (ADVI)","beta1",0.176,0.249,0.227,1,2
1,0.4,"Proposed (ADVI)","beta1",0.379,0.134,0.201,0.5,2
0.5,0.4,"Naive (ADVI)","beta10",0.173,0.186,0.226,1,2
1,0.4,"Naive (ADVI)","beta10",0.051,0.072,0.307,1,2
0.5,0.4,"Proposed (ADVI)","beta10",0.135,0.191,0.212,1,2
1,0.4,"Proposed (ADVI)","beta10",0.179,0.254,0.165,1,2
0.5,0.4,"Naive (ADVI)","beta11",0.099,0.14,0.221,1,2
1,0.4,"Naive (ADVI)","beta11",0.291,0.411,0.384,1,2
0.5,0.4,"Proposed (ADVI)","beta11",0.092,0.13,0.238,1,2
1,0.4,"Proposed (ADVI)","beta11",0.012,0.017,0.164,1,2
0.5,0.4,"Naive (ADVI)","beta12",0.203,0.095,0.241,1,2
1,0.4,"Naive (ADVI)","beta12",0.264,0.095,0.309,1,2
0.5,0.4,"Proposed (ADVI)","beta12",0.2,0.092,0.251,1,2
1,0.4,"Proposed (ADVI)","beta12",0.194,0.008,0.183,1,2
0.5,0.4,"Naive (ADVI)","beta13",0.093,0.132,0.234,1,2
1,0.4,"Naive (ADVI)","beta13",0.131,0.185,0.293,1,2
0.5,0.4,"Proposed (ADVI)","beta13",0.11,0.156,0.241,1,2
1,0.4,"Proposed (ADVI)","beta13",0.072,0.102,0.181,1,2
0.5,0.4,"Naive (ADVI)","beta14",0.225,0.031,0.225,1,2
1,0.4,"Naive (ADVI)","beta14",0.6,0.848,0.433,1,2
0.5,0.4,"Proposed (ADVI)","beta14",0.234,0.011,0.23,1,2
1,0.4,"Proposed (ADVI)","beta14",0.038,0.009,0.174,1,2
0.5,0.4,"Naive (ADVI)","beta15",0.241,0.341,0.263,1,2
1,0.4,"Naive (ADVI)","beta15",0.502,0.484,0.423,1,2
0.5,0.4,"Proposed (ADVI)","beta15",0.24,0.339,0.239,1,2
1,0.4,"Proposed (ADVI)","beta15",0.136,0.054,0.183,1,2
0.5,0.4,"Naive (ADVI)","beta16",0.185,0.262,0.246,1,2
1,0.4,"Naive (ADVI)","beta16",0.278,0.042,0.329,1,2
0.5,0.4,"Proposed (ADVI)","beta16",0.19,0.268,0.219,1,2
1,0.4,"Proposed (ADVI)","beta16",0.119,0.16,0.165,1,2
0.5,0.4,"Naive (ADVI)","beta17",0.393,0.555,0.259,1,2
1,0.4,"Naive (ADVI)","beta17",0.566,0.481,0.457,1,2
0.5,0.4,"Proposed (ADVI)","beta17",0.398,0.562,0.26,1,2
1,0.4,"Proposed (ADVI)","beta17",0.337,0.477,0.19,0.5,2
0.5,0.4,"Naive (ADVI)","beta18",0.11,0.042,0.213,1,2
1,0.4,"Naive (ADVI)","beta18",0.13,0.184,0.264,1,2
0.5,0.4,"Proposed (ADVI)","beta18",0.103,0.05,0.243,1,2
1,0.4,"Proposed (ADVI)","beta18",0.064,0.09,0.182,1,2
0.5,0.4,"Naive (ADVI)","beta19",0.133,0.188,0.259,1,2
1,0.4,"Naive (ADVI)","beta19",0.445,0.56,0.388,1,2
0.5,0.4,"Proposed (ADVI)","beta19",0.124,0.175,0.223,1,2
1,0.4,"Proposed (ADVI)","beta19",0.073,0.103,0.157,1,2
0.5,0.4,"Naive (ADVI)","beta2",0.092,0.13,0.293,1,2
1,0.4,"Naive (ADVI)","beta2",1.322,1.869,0.497,0.5,2
0.5,0.4,"Proposed (ADVI)","beta2",0.1,0.141,0.261,1,2
1,0.4,"Proposed (ADVI)","beta2",0.386,0.096,0.249,1,2
0.5,0.4,"Naive (ADVI)","beta20",0.091,0.012,0.245,1,2
1,0.4,"Naive (ADVI)","beta20",0.418,0.591,0.355,1,2
0.5,0.4,"Proposed (ADVI)","beta20",0.063,0.005,0.23,1,2
1,0.4,"Proposed (ADVI)","beta20",0.057,0.08,0.174,1,2
0.5,0.4,"Naive (ADVI)","beta3",0.049,0.005,0.297,1,2
1,0.4,"Naive (ADVI)","beta3",1.372,1.941,0.492,0.5,2
0.5,0.4,"Proposed (ADVI)","beta3",0.086,0.009,0.304,1,2
1,0.4,"Proposed (ADVI)","beta3",0.593,0.102,0.342,1,2
0.5,0.4,"Naive (ADVI)","beta4",0.31,0.137,0.383,1,2
1,0.4,"Naive (ADVI)","beta4",1.378,1.948,0.528,0.5,2
0.5,0.4,"Proposed (ADVI)","beta4",0.334,0.151,0.375,1,2
1,0.4,"Proposed (ADVI)","beta4",0.757,0.096,0.427,1,2
0.5,0.4,"Naive (ADVI)","beta5",0.57,0.598,0.419,0.5,2
1,0.4,"Naive (ADVI)","beta5",1.926,2.724,0.611,0,2
0.5,0.4,"Proposed (ADVI)","beta5",0.589,0.646,0.46,0.5,2
1,0.4,"Proposed (ADVI)","beta5",0.872,0.196,0.515,0.5,2
0.5,0.4,"Naive (ADVI)","beta6",0.065,0.028,0.24,1,2
1,0.4,"Naive (ADVI)","beta6",0.558,0.79,0.39,1,2
0.5,0.4,"Proposed (ADVI)","beta6",0.04,0.03,0.235,1,2
1,0.4,"Proposed (ADVI)","beta6",0.214,0.159,0.166,1,2
0.5,0.4,"Naive (ADVI)","beta7",0.313,0.443,0.237,1,2
1,0.4,"Naive (ADVI)","beta7",0.195,0.276,0.289,0.5,2
0.5,0.4,"Proposed (ADVI)","beta7",0.318,0.45,0.252,1,2
1,0.4,"Proposed (ADVI)","beta7",0.314,0.444,0.192,0.5,2
0.5,0.4,"Naive (ADVI)","beta8",0.095,0.135,0.229,1,2
1,0.4,"Naive (ADVI)","beta8",0.126,0.177,0.284,1,2
0.5,0.4,"Proposed (ADVI)","beta8",0.097,0.137,0.227,1,2
1,0.4,"Proposed (ADVI)","beta8",0.145,0.205,0.165,1,2
0.5,0.4,"Naive (ADVI)","beta9",0.231,0.07,0.252,1,2
1,0.4,"Naive (ADVI)","beta9",0.356,0.225,0.398,1,2
0.5,0.4,"Proposed (ADVI)","beta9",0.249,0.05,0.236,1,2
1,0.4,"Proposed (ADVI)","beta9",0.149,0.035,0.187,1,2
0.5,0.4,"Proposed (ADVI)","eta",0.109,0.12,0.209,1,2
1,0.4,"Proposed (ADVI)","eta",0.279,0.173,0.331,1,2
