"xsd","method","param","avgBias","avgSEE","avgSEM","avgCI","n"
0.5,"Naive","beta1",0.195,0.226,0.238,0.94,50
0.5,"Proposed","beta1",0.179,0.226,0.25,0.94,50
0.5,"Naive","beta10",0.193,0.248,0.227,0.92,50
0.5,"Proposed","beta10",0.188,0.246,0.224,0.92,50
0.5,"Naive","beta11",0.194,0.232,0.231,0.9,50
0.5,"Proposed","beta11",0.182,0.229,0.235,0.96,50
0.5,"Naive","beta12",0.205,0.241,0.231,0.98,50
0.5,"Proposed","beta12",0.208,0.242,0.219,0.94,50
0.5,"Naive","beta13",0.181,0.226,0.222,0.94,50
0.5,"Proposed","beta13",0.181,0.225,0.265,0.98,50
0.5,"Naive","beta14",0.213,0.254,0.234,0.94,50
0.5,"Proposed","beta14",0.193,0.245,0.222,0.94,50
0.5,"Naive","beta15",0.182,0.239,0.208,0.92,50
0.5,"Proposed","beta15",0.181,0.238,0.23,0.92,50
0.5,"Naive","beta16",0.184,0.238,0.227,0.94,50
0.5,"Proposed","beta16",0.169,0.224,0.231,0.94,50
0.5,"Naive","beta17",0.217,0.27,0.236,0.92,50
0.5,"Proposed","beta17",0.223,0.274,0.238,0.9,50
0.5,"Naive","beta18",0.152,0.191,0.229,0.98,50
0.5,"Proposed","beta18",0.156,0.192,0.224,0.98,50
0.5,"Naive","beta19",0.198,0.249,0.231,0.9,50
0.5,"Proposed","beta19",0.201,0.255,0.222,0.88,50
0.5,"Naive","beta2",0.274,0.31,0.236,0.88,50
0.5,"Proposed","beta2",0.29,0.306,0.24,0.8,50
0.5,"Naive","beta20",0.226,0.28,0.224,0.88,50
0.5,"Proposed","beta20",0.218,0.282,0.253,0.92,50
0.5,"Naive","beta3",0.307,0.303,0.238,0.7,50
0.5,"Proposed","beta3",0.333,0.315,0.267,0.7,50
0.5,"Naive","beta4",0.384,0.363,0.272,0.74,50
0.5,"Proposed","beta4",0.457,0.37,0.244,0.52,50
0.5,"Naive","beta5",0.484,0.46,0.307,0.68,50
0.5,"Proposed","beta5",0.575,0.48,0.283,0.48,50
0.5,"Naive","beta6",0.225,0.269,0.217,0.86,50
0.5,"Proposed","beta6",0.228,0.266,0.233,0.92,50
0.5,"Naive","beta7",0.185,0.246,0.246,0.92,50
0.5,"Proposed","beta7",0.19,0.243,0.243,0.92,50
0.5,"Naive","beta8",0.199,0.241,0.221,0.96,50
0.5,"Proposed","beta8",0.195,0.238,0.245,1,50
0.5,"Naive","beta9",0.222,0.272,0.21,0.86,50
0.5,"Proposed","beta9",0.245,0.276,0.228,0.88,50
0.5,"Proposed","eta",0.159,0.174,0.215,0.9,50
