"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd"
"beta1",1,0.853117277,0.249815225204627,0.379107775,1.3765005,-0.146882723,0.146882723,TRUE,"Proposed",0.5
"beta2",2,1.90493788,0.23104206515866,1.47510675,2.34231275,-0.0950621199999999,0.0950621199999999,TRUE,"Proposed",0.5
"beta3",3,3.12977779,0.260742196603284,2.656267,3.65714475,0.12977779,0.12977779,TRUE,"Proposed",0.5
"beta4",-4,-4.31793735,0.257303744600157,-4.82084875,-3.82190175,-0.31793735,0.31793735,TRUE,"Proposed",0.5
"beta5",-5,-5.51841392,0.28684597076825,-6.07700775,-4.956904,-0.51841392,0.51841392,TRUE,"Proposed",0.5
"beta6",0,-0.423783303905,0.2325313723005,-0.8913313,0.0246227099999997,-0.423783303905,0.423783303905,TRUE,"Proposed",0.5
"beta7",0,-0.237270487435,0.233409581889095,-0.675096875,0.224119225,-0.237270487435,0.237270487435,TRUE,"Proposed",0.5
"beta8",0,0.0872346137938,0.249956176911733,-0.377077025,0.581305375,0.0872346137938,0.0872346137938,TRUE,"Proposed",0.5
"beta9",0,-0.44623310445,0.209530198677188,-0.86425155,-0.0334550875,-0.44623310445,0.44623310445,FALSE,"Proposed",0.5
"beta10",0,-0.091245163227,0.223876734169849,-0.524720625,0.331409175,-0.091245163227,0.091245163227,TRUE,"Proposed",0.5
"beta11",0,-0.099792303554,0.219622739151313,-0.534862125,0.340079325,-0.099792303554,0.099792303554,TRUE,"Proposed",0.5
"beta12",0,0.270766487421,0.219205135235015,-0.153248175,0.683843675,0.270766487421,0.270766487421,TRUE,"Proposed",0.5
"beta13",0,-0.098680404264,0.264080457661833,-0.6255009,0.39367065,-0.098680404264,0.098680404264,TRUE,"Proposed",0.5
"beta14",0,0.249984531001,0.230086481226296,-0.193791225,0.692150975,0.249984531001,0.249984531001,TRUE,"Proposed",0.5
"beta15",0,0.382396093469,0.240330105872344,-0.080813745,0.85618105,0.382396093469,0.382396093469,TRUE,"Proposed",0.5
"beta16",0,-0.17837787594,0.224387332820216,-0.630702075,0.2370973,-0.17837787594,0.17837787594,TRUE,"Proposed",0.5
"beta17",0,-0.168463839636,0.235569300365652,-0.615778725,0.285252725,-0.168463839636,0.168463839636,TRUE,"Proposed",0.5
"beta18",0,-0.120810564454,0.219158885912186,-0.554974575,0.313972525,-0.120810564454,0.120810564454,TRUE,"Proposed",0.5
"beta19",0,-0.28963134546,0.228555872280006,-0.727571325,0.153163525,-0.28963134546,0.28963134546,TRUE,"Proposed",0.5
"beta20",0,-0.1212565760848,0.259845259184743,-0.62999865,0.38210625,-0.1212565760848,0.1212565760848,TRUE,"Proposed",0.5
"eta",0.4,0.594973304,0.217834930249495,0.2759268,1.12261525,0.194973304,0.194973304,TRUE,"Proposed",0.5
"beta1",1,0.900849233,0.241062593077736,0.395913925,1.377193,-0.099150767,0.099150767,TRUE,"Naive",0.5
"beta2",2,1.88749546,0.225970973065694,1.43346925,2.3403545,-0.11250454,0.11250454,TRUE,"Naive",0.5
"beta3",3,3.05548075,0.23332957559509,2.60430975,3.49403525,0.0554807500000001,0.0554807500000001,TRUE,"Naive",0.5
"beta4",-4,-4.29047535,0.286900034133255,-4.86219475,-3.7398415,-0.29047535,0.29047535,TRUE,"Naive",0.5
"beta5",-5,-5.32318994,0.310124893591633,-5.906238,-4.70390925,-0.32318994,0.32318994,TRUE,"Naive",0.5
"beta6",0,-0.343366506655,0.218163561089491,-0.779123625,0.0862423949999999,-0.343366506655,0.343366506655,TRUE,"Naive",0.5
"beta7",0,-0.25751558643,0.240608301593439,-0.7354258,0.200941425,-0.25751558643,0.25751558643,TRUE,"Naive",0.5
"beta8",0,0.044242198541,0.222785939055713,-0.391431625,0.487505825,0.044242198541,0.044242198541,TRUE,"Naive",0.5
"beta9",0,-0.43934216467,0.199031607096265,-0.826079275,-0.0598090250000001,-0.43934216467,0.43934216467,FALSE,"Naive",0.5
"beta10",0,-0.145353307352,0.22692695625407,-0.581161975,0.302966375,-0.145353307352,0.145353307352,TRUE,"Naive",0.5
"beta11",0,0.002736123957,0.216011555711953,-0.386923975,0.43130305,0.002736123957,0.002736123957,TRUE,"Naive",0.5
"beta12",0,0.228765058575,0.23466484671935,-0.24203115,0.689437075,0.228765058575,0.228765058575,TRUE,"Naive",0.5
"beta13",0,-0.094781681541,0.224091249796227,-0.5473183,0.3253906,-0.094781681541,0.094781681541,TRUE,"Naive",0.5
"beta14",0,0.344558032965,0.241445282602507,-0.1254438,0.817348225,0.344558032965,0.344558032965,TRUE,"Naive",0.5
"beta15",0,0.355767144043,0.215139482122561,-0.07816779,0.77702355,0.355767144043,0.355767144043,TRUE,"Naive",0.5
"beta16",0,-0.232312720158,0.221510505530357,-0.68137745,0.206800575,-0.232312720158,0.232312720158,TRUE,"Naive",0.5
"beta17",0,-0.1067774621714,0.231215739774639,-0.5568617,0.34089665,-0.1067774621714,0.1067774621714,TRUE,"Naive",0.5
"beta18",0,-0.1275474815356,0.220304514166135,-0.5589578,0.311938375,-0.1275474815356,0.1275474815356,TRUE,"Naive",0.5
"beta19",0,-0.2913000901911,0.242310573996025,-0.7687848,0.1909034,-0.2913000901911,0.2913000901911,TRUE,"Naive",0.5
"beta20",0,-0.1383602196914,0.22496306159002,-0.565419725,0.2952119,-0.1383602196914,0.1383602196914,TRUE,"Naive",0.5
"beta1",1,1.151052649,0.2407952929178,0.694158075,1.6555385,0.151052649,0.151052649,TRUE,"Proposed",0.5
"beta2",2,2.15872221,0.233344367531069,1.7246165,2.60045325,0.15872221,0.15872221,TRUE,"Proposed",0.5
"beta3",3,2.91167409,0.251596683105564,2.454772,3.42054325,-0.08832591,0.08832591,TRUE,"Proposed",0.5
"beta4",-4,-3.75242691,0.229998454607577,-4.20197325,-3.30902825,0.24757309,0.24757309,TRUE,"Proposed",0.5
"beta5",-5,-4.92086859,0.266150369470872,-5.43915575,-4.39987175,0.0791314099999996,0.0791314099999996,TRUE,"Proposed",0.5
