"eta_true","sweeps","update","gen_scale","fit_scale","rep","eta_hat","eta_abs_bias","disease_rate"
0.4,20,"parallel","avg","avg",1,0.923164171352462,0.523164171352462,0.535555555555556
0.4,20,"parallel","avg","avg",2,0.951889617707916,0.551889617707916,0.551111111111111
0.4,20,"parallel","avg","avg",3,0.233070971275373,0.166929028724627,0.502222222222222
0.4,20,"parallel","avg","avg",4,0.712972404331297,0.312972404331297,0.515555555555556
0.4,20,"parallel","avg","avg",5,0.537579708271234,0.137579708271234,0.506666666666667
0.4,20,"parallel","avg","avg",6,0.0357570314578936,0.364242968542106,0.497777777777778
0.4,20,"parallel","avg","avg",7,0.870049284122278,0.470049284122278,0.528888888888889
0.4,20,"parallel","avg","avg",8,0.485667175160751,0.0856671751607512,0.525555555555556
0.4,20,"parallel","avg","avg",9,0.253973810146599,0.146026189853401,0.518888888888889
0.4,20,"parallel","avg","avg",10,0.955706352812582,0.555706352812582,0.528888888888889
0.4,20,"parallel","avg","avg",11,0.178738028298146,0.221261971701854,0.502222222222222
0.4,20,"parallel","avg","avg",12,0.400215032154139,0.000215032154138706,0.521111111111111
0.4,20,"parallel","avg","avg",13,-0.0952159461004126,0.495215946100413,0.502222222222222
0.4,20,"parallel","avg","avg",14,-0.111932387599177,0.511932387599177,0.506666666666667
0.4,20,"parallel","avg","avg",15,0.0214243736729203,0.37857562632708,0.506666666666667
0.4,20,"parallel","avg","avg",16,0.784035102851073,0.384035102851073,0.491111111111111
0.4,20,"parallel","avg","avg",17,0.481853717396349,0.0818537173963494,0.495555555555556
0.4,20,"parallel","avg","avg",18,0.961057343360531,0.561057343360531,0.532222222222222
0.4,20,"parallel","avg","avg",19,0.702974417454792,0.302974417454792,0.521111111111111
0.4,20,"parallel","avg","avg",20,-0.100246121421508,0.500246121421508,0.503333333333333
0.4,20,"parallel","avg","avg",21,0.716020348851109,0.316020348851109,0.497777777777778
0.4,20,"parallel","avg","avg",22,0.268975564775445,0.131024435224555,0.481111111111111
