"eta_setting","method","param","metric_group","target_avgBias","target_avgSEE","target_avgSEM","target_avgCI","avgBias","avgSEE","avgSEM","avgCI","n","delta_avgBias","delta_avgSEE","delta_avgSEM","delta_avgCI"
0.4,"Naive Method (ADVI)","beta1","naive_beta",0.401,0.019,0.018,0.95,0.264827797085549,0.255546633905243,0.3477623701099,0.98,200,-0.136172202914451,0.236546633905243,0.3297623701099,0.03
0.4,"Naive Method (ADVI)","beta2","naive_beta",0.648,0.025,0.025,0.955,1.61549140064189,1.17201484401666,0.5669665212588,0.295,200,0.96749140064189,1.14701484401666,0.5419665212588,-0.66
0.4,"Naive Method (ADVI)","beta3","naive_beta",1.83,0.038,0.038,0.945,1.63893049159001,1.21334905186951,0.540641214805452,0.285,200,-0.19106950840999,1.17534905186951,0.502641214805452,-0.66
0.4,"Naive Method (ADVI)","beta4","naive_beta",2.274,0.059,0.058,0.96,1.57021002074157,1.18429694970513,0.547879785728887,0.295,200,-0.70378997925843,1.12529694970513,0.489879785728887,-0.665
0.4,"Naive Method (ADVI)","beta5","naive_beta",3.296,0.064,0.066,0.95,2.1363928885969,1.60092393288213,0.655538536386927,0.29,200,-1.1596071114031,1.53692393288213,0.589538536386927,-0.66
0.4,"Proposed Method (ADVI)","beta1","proposed_beta",0.332,0.055,0.056,0.955,0.191420420915,0.199210047574142,0.183899464847699,0.87,200,-0.140579579085,0.144210047574142,0.127899464847699,-0.085
0.4,"Proposed Method (ADVI)","beta2","proposed_beta",0.353,0.047,0.047,0.955,0.30257815915,0.23025772818391,0.245291335921385,0.855,200,-0.05042184085,0.18325772818391,0.198291335921385,-0.1
0.4,"Proposed Method (ADVI)","beta3","proposed_beta",0.451,0.065,0.066,0.95,0.39429972045,0.290912901931018,0.325241229210093,0.895,200,-0.05670027955,0.225912901931018,0.259241229210093,-0.0549999999999999
0.4,"Proposed Method (ADVI)","beta4","proposed_beta",0.445,0.047,0.047,0.95,0.52775233325,0.348157441152159,0.409450882216708,0.85,200,0.08275233325,0.301157441152159,0.362450882216708,-0.1
0.4,"Proposed Method (ADVI)","beta5","proposed_beta",0.458,0.056,0.057,0.945,0.67442867615,0.408776662176801,0.497025718557096,0.8,200,0.21642867615,0.352776662176801,0.440025718557096,-0.145
0.4,"Proposed Method (ADVI)","eta","proposed_eta",0.087,0.044,0.044,0.95,0.23149570885155,0.245277038073665,0.309833825819509,0.875,200,0.14449570885155,0.201277038073665,0.265833825819509,-0.075
1.6,"Naive Method (ADVI)","beta1","naive_beta",0.389,0.016,0.016,0.955,0.234216691747335,0.222547289609443,0.334704507573531,0.985,200,-0.154783308252665,0.206547289609443,0.318704507573531,0.03
1.6,"Naive Method (ADVI)","beta2","naive_beta",0.689,0.025,0.027,0.95,1.50054397967243,1.09610136883103,0.539717202675494,0.345,200,0.81154397967243,1.07110136883103,0.512717202675494,-0.605
1.6,"Naive Method (ADVI)","beta3","naive_beta",1.54,0.034,0.034,0.94,1.50116303118321,1.08305387563957,0.514775760387589,0.34,200,-0.03883696881679,1.04905387563957,0.480775760387589,-0.6
1.6,"Naive Method (ADVI)","beta4","naive_beta",2.386,0.067,0.067,0.95,1.44341008342431,1.01849902359791,0.525934846573559,0.35,200,-0.94258991657569,0.95149902359791,0.458934846573559,-0.6
1.6,"Naive Method (ADVI)","beta5","naive_beta",3.982,0.069,0.069,0.955,1.96743930235236,1.39950917094096,0.622497926939312,0.35,200,-2.01456069764764,1.33050917094096,0.553497926939312,-0.605
