"method","eta_setting","param","avgBias","avgSEE","avgSEM","avgCI","n"
"Naive Method (ADVI)",0.4,"beta1",0.264827797085549,0.255546633905243,0.3477623701099,0.98,200
"Naive Method (ADVI)",0.4,"beta2",1.61549140064189,1.17201484401666,0.5669665212588,0.295,200
"Naive Method (ADVI)",0.4,"beta3",1.63893049159001,1.21334905186951,0.540641214805452,0.285,200
"Naive Method (ADVI)",0.4,"beta4",1.57021002074157,1.18429694970513,0.547879785728887,0.295,200
"Naive Method (ADVI)",0.4,"beta5",2.1363928885969,1.60092393288213,0.655538536386927,0.29,200
"Naive Method (ADVI)",0.4,"beta6",0.763557540548994,0.492607315078247,0.474740222959903,0.955,200
"Naive Method (ADVI)",0.4,"beta7",0.118578534042169,0.148786426910009,0.328575939872169,0.995,200
"Naive Method (ADVI)",0.4,"beta8",0.131182506805092,0.145383424290593,0.328319903908618,0.995,200
"Naive Method (ADVI)",0.4,"beta9",0.434334455396898,0.291747594064345,0.449198260730235,0.985,200
"Naive Method (ADVI)",0.4,"beta10",0.160602074499012,0.173747636590286,0.331134660655659,0.99,200
"Naive Method (ADVI)",0.4,"beta11",0.480900860357552,0.312769548738809,0.45546166986586,0.965,200
"Naive Method (ADVI)",0.4,"beta12",0.25013426572163,0.201417010260577,0.373027614827067,0.99,200
"Naive Method (ADVI)",0.4,"beta13",0.157073238850528,0.173107895399315,0.335984242283558,0.98,200
"Naive Method (ADVI)",0.4,"beta14",0.83595986692443,0.540036393609663,0.525151116529014,0.975,200
"Naive Method (ADVI)",0.4,"beta15",0.640893831210379,0.411030925021119,0.489618983588604,0.99,200
"Naive Method (ADVI)",0.4,"beta16",0.301233835537527,0.216550271802378,0.369314778982867,1,200
"Naive Method (ADVI)",0.4,"beta17",0.698165059580225,0.456274962876203,0.497806941445215,0.99,200
"Naive Method (ADVI)",0.4,"beta18",0.148070144915355,0.1891878426453,0.322622300300162,0.96,200
"Naive Method (ADVI)",0.4,"beta19",0.607316063492624,0.39379576402276,0.462995220567199,0.965,200
"Naive Method (ADVI)",0.4,"beta20",0.547076707555575,0.377219899001026,0.430266826299836,0.995,200
"Proposed Method (ADVI)",0.4,"beta1",0.191420420915,0.199210047574142,0.183899464847699,0.87,200
"Proposed Method (ADVI)",0.4,"beta2",0.30257815915,0.23025772818391,0.245291335921385,0.855,200
"Proposed Method (ADVI)",0.4,"beta3",0.39429972045,0.290912901931018,0.325241229210093,0.895,200
"Proposed Method (ADVI)",0.4,"beta4",0.52775233325,0.348157441152159,0.409450882216708,0.85,200
"Proposed Method (ADVI)",0.4,"beta5",0.67442867615,0.408776662176801,0.497025718557096,0.8,200
"Proposed Method (ADVI)",0.4,"beta6",0.139962216323877,0.174606876715165,0.168695963483689,0.935,200
"Proposed Method (ADVI)",0.4,"beta7",0.128621540282392,0.157206937306832,0.184923796333703,0.98,200
"Proposed Method (ADVI)",0.4,"beta8",0.135647631546064,0.169430520706265,0.165066544281745,0.94,200
"Proposed Method (ADVI)",0.4,"beta9",0.143484410184272,0.180385655913966,0.178342894207756,0.955,200
"Proposed Method (ADVI)",0.4,"beta10",0.134197526666115,0.16926329960397,0.153957128854312,0.95,200
"Proposed Method (ADVI)",0.4,"beta11",0.149645990820458,0.184476139834076,0.17304327043651,0.93,200
"Proposed Method (ADVI)",0.4,"beta12",0.134735074797534,0.170794871133433,0.177983867573328,0.965,200
"Proposed Method (ADVI)",0.4,"beta13",0.131797658178708,0.169339354738352,0.175532375069102,0.965,200
"Proposed Method (ADVI)",0.4,"beta14",0.137538668127417,0.170683769232305,0.168582009780181,0.925,200
"Proposed Method (ADVI)",0.4,"beta15",0.152467760533118,0.188501184350029,0.166509676431206,0.92,200
"Proposed Method (ADVI)",0.4,"beta16",0.126115151858911,0.153904802604795,0.155290798992042,0.945,200
"Proposed Method (ADVI)",0.4,"beta17",0.142771252637148,0.174449909214082,0.183391150332261,0.96,200
"Proposed Method (ADVI)",0.4,"beta18",0.136130926109661,0.175212462429832,0.180265490610364,0.95,200
"Proposed Method (ADVI)",0.4,"beta19",0.131277993355888,0.164967052804702,0.163105560265812,0.96,200
"Proposed Method (ADVI)",0.4,"beta20",0.138219350532466,0.169492546596894,0.168207933562026,0.95,200
"Proposed Method (ADVI)",0.4,"eta",0.23149570885155,0.245277038073665,0.309833825819509,0.875,200
"Naive Method (ADVI)",1.6,"beta1",0.234216691747335,0.222547289609443,0.334704507573531,0.985,200
"Naive Method (ADVI)",1.6,"beta2",1.50054397967243,1.09610136883103,0.539717202675494,0.345,200
"Naive Method (ADVI)",1.6,"beta3",1.50116303118321,1.08305387563957,0.514775760387589,0.34,200
"Naive Method (ADVI)",1.6,"beta4",1.44341008342431,1.01849902359791,0.525934846573559,0.35,200
