"method","eta_setting","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Naive Method (ADVI)",0.4,1,"beta1",1,0.753384379107,0.422563070847401,-0.07988855,1.56902675,-0.246615620893,0.246615620893,TRUE
"Naive Method (ADVI)",0.4,1,"beta2",2,-0.241877608695,0.730491692761538,-1.63129075,1.1715725,-2.241877608695,2.241877608695,FALSE
"Naive Method (ADVI)",0.4,1,"beta3",3,0.77258673894,0.677607309685491,-0.5835727,2.10785825,-2.22741326106,2.22741326106,FALSE
"Naive Method (ADVI)",0.4,1,"beta4",-4,-1.87063111879,0.615148378287717,-3.07621575,-0.704147425,2.12936888121,2.12936888121,FALSE
"Naive Method (ADVI)",0.4,1,"beta5",-5,-2.0823302288,0.727589621997239,-3.54106625,-0.60781335,2.9176697712,2.9176697712,FALSE
"Naive Method (ADVI)",0.4,1,"beta6",0,-1.03338905953,0.640547833887766,-2.296299,0.227741525,-1.03338905953,1.03338905953,TRUE
"Naive Method (ADVI)",0.4,1,"beta7",0,0.253800367695,0.423619918682152,-0.522413325,1.073631,0.253800367695,0.253800367695,TRUE
"Naive Method (ADVI)",0.4,1,"beta8",0,0.153294298314,0.402295553218257,-0.642987575,0.93249725,0.153294298314,0.153294298314,TRUE
"Naive Method (ADVI)",0.4,1,"beta9",0,0.67043268625,0.534760709573424,-0.3458582,1.6746725,0.67043268625,0.67043268625,TRUE
"Naive Method (ADVI)",0.4,1,"beta10",0,0.022059734147,0.428303770081527,-0.860547625,0.846038525,0.022059734147,0.022059734147,TRUE
"Naive Method (ADVI)",0.4,1,"beta11",0,-0.60955723201,0.601795388513771,-1.794892,0.53102155,-0.60955723201,0.60955723201,TRUE
"Naive Method (ADVI)",0.4,1,"beta12",0,0.30315420678,0.461093430858469,-0.62541065,1.188727,0.30315420678,0.30315420678,TRUE
"Naive Method (ADVI)",0.4,1,"beta13",0,-0.131612963239,0.439453242100773,-0.991014325,0.7336319,-0.131612963239,0.131612963239,TRUE
"Naive Method (ADVI)",0.4,1,"beta14",0,1.18841336921,0.684582864157528,-0.154211,2.5437545,1.18841336921,1.18841336921,TRUE
"Naive Method (ADVI)",0.4,1,"beta15",0,0.86086419867,0.640601912235803,-0.3715004,2.11503275,0.86086419867,0.86086419867,TRUE
"Naive Method (ADVI)",0.4,1,"beta16",0,0.61337332245,0.412523208675859,-0.199017,1.40360175,0.61337332245,0.61337332245,TRUE
"Naive Method (ADVI)",0.4,1,"beta17",0,0.93413680873,0.67438462417714,-0.4604976,2.23829375,0.93413680873,0.93413680873,TRUE
"Naive Method (ADVI)",0.4,1,"beta18",0,0.03121593337478,0.398036335382944,-0.7056997,0.805765725,0.03121593337478,0.03121593337478,TRUE
"Naive Method (ADVI)",0.4,1,"beta19",0,0.7541141314,0.663562700453341,-0.427411825,2.07171875,0.7541141314,0.7541141314,TRUE
"Naive Method (ADVI)",0.4,1,"beta20",0,0.68247407656633,0.581246935232639,-0.433767825,1.832995,0.68247407656633,0.68247407656633,TRUE
"Proposed Method (ADVI)",0.4,1,"beta1",1,0.825617811,0.160419714495844,0.530164475,1.16314475,-0.174382189,0.174382189,TRUE
"Proposed Method (ADVI)",0.4,1,"beta2",2,2.1922793,0.225695174110407,1.751909,2.64247525,0.1922793,0.1922793,TRUE
"Proposed Method (ADVI)",0.4,1,"beta3",3,3.30238166,0.301307370282293,2.68944325,3.89866725,0.30238166,0.30238166,TRUE
"Proposed Method (ADVI)",0.4,1,"beta4",-4,-4.20968234,0.376150208179176,-4.94431975,-3.4492535,-0.20968234,0.20968234,TRUE
"Proposed Method (ADVI)",0.4,1,"beta5",-5,-4.91469175,0.442971064211836,-5.74927675,-4.02129025,0.0853082499999998,0.0853082499999998,TRUE
"Proposed Method (ADVI)",0.4,1,"beta6",0,-0.040036918451,0.167160638584779,-0.377228525,0.279957075,-0.040036918451,0.040036918451,TRUE
"Proposed Method (ADVI)",0.4,1,"beta7",0,0.08470116124,0.166872640423993,-0.261706575,0.4062272,0.08470116124,0.08470116124,TRUE
"Proposed Method (ADVI)",0.4,1,"beta8",0,0.0347237011964,0.153137720765763,-0.257373,0.348419375,0.0347237011964,0.0347237011964,TRUE
"Proposed Method (ADVI)",0.4,1,"beta9",0,0.1919881744,0.163576924425544,-0.140504475,0.51016035,0.1919881744,0.1919881744,TRUE
