"sigma2","rho","method","param","target_avgBias","target_avgSEE","target_avgSEM","target_avgCI","setting","avgBias","avgSEE","avgSEM","avgCI","n","delta_avgBias","delta_avgSEE","delta_avgSEM","delta_avgCI"
0.1,0.1,"Proposed Method (ADVI)","beta1",0.303,0.046,0.047,0.955,"sigma2=0.1,rho=0.1",0.06000975849,0.0722163036311214,0.0745002951535127,0.92,200,-0.24299024151,0.0262163036311214,0.0275002951535127,-0.0349999999999999
0.1,0.1,"Proposed Method (ADVI)","beta2",0.331,0.032,0.032,0.94,"sigma2=0.1,rho=0.1",0.09687019115,0.0904418197539725,0.108748525041435,0.955,200,-0.23412980885,0.0584418197539725,0.076748525041435,0.015
0.1,0.1,"Proposed Method (ADVI)","beta3",0.398,0.048,0.048,0.955,"sigma2=0.1,rho=0.1",0.1345480698,0.119948252766595,0.135144526678829,0.915,200,-0.2634519302,0.071948252766595,0.087144526678829,-0.0399999999999999
0.1,0.1,"Proposed Method (ADVI)","beta4",0.494,0.057,0.059,0.965,"sigma2=0.1,rho=0.1",0.1926255837,0.155920824532416,0.161980933154045,0.865,200,-0.3013744163,0.098920824532416,0.102980933154045,-0.1
0.1,0.1,"Proposed Method (ADVI)","beta5",0.469,0.043,0.043,0.95,"sigma2=0.1,rho=0.1",0.2222940954,0.181220384256263,0.200679886296591,0.91,200,-0.2467059046,0.138220384256263,0.157679886296591,-0.0399999999999999
0.1,0.1,"Proposed Method (ADVI)","eta",0.076,0.025,0.025,0.945,"sigma2=0.1,rho=0.1",0.373237633665,0.222465639559675,0.282058004158367,0.78,200,0.297237633665,0.197465639559675,0.257058004158367,-0.165
0.1,0.4,"Proposed Method (ADVI)","beta1",0.362,0.045,0.043,0.94,"sigma2=0.1,rho=0.4",0.053148077495,0.0651636509728123,0.0739478187582061,0.945,200,-0.308851922505,0.0201636509728123,0.0309478187582061,0.005
0.1,0.4,"Proposed Method (ADVI)","beta2",0.481,0.054,0.054,0.95,"sigma2=0.1,rho=0.4",0.09908339865,0.0903854076806284,0.108525771367721,0.94,200,-0.38191660135,0.0363854076806284,0.054525771367721,-0.01
0.1,0.4,"Proposed Method (ADVI)","beta3",0.452,0.042,0.043,0.945,"sigma2=0.1,rho=0.4",0.14242308385,0.122014721770748,0.134955441263423,0.9,200,-0.30957691615,0.080014721770748,0.091955441263423,-0.0449999999999999
0.1,0.4,"Proposed Method (ADVI)","beta4",0.568,0.076,0.074,0.955,"sigma2=0.1,rho=0.4",0.18728761635,0.155115098962655,0.161599636342884,0.87,200,-0.38071238365,0.079115098962655,0.087599636342884,-0.085
0.1,0.4,"Proposed Method (ADVI)","beta5",0.524,0.054,0.054,0.935,"sigma2=0.1,rho=0.4",0.2286456568,0.184364236853728,0.20062640240382,0.89,200,-0.2953543432,0.130364236853728,0.14662640240382,-0.045
0.1,0.4,"Proposed Method (ADVI)","eta",0.089,0.031,0.031,0.94,"sigma2=0.1,rho=0.4",0.373992364385,0.237019189844719,0.284659935811844,0.79,200,0.284992364385,0.206019189844719,0.253659935811844,-0.15
0.4,0.1,"Proposed Method (ADVI)","beta1",0.288,0.034,0.034,0.95,"sigma2=0.4,rho=0.1",0.06041969888,0.0742024848755338,0.074147570799525,0.94,200,-0.22758030112,0.0402024848755338,0.040147570799525,-0.01
0.4,0.1,"Proposed Method (ADVI)","beta2",0.351,0.045,0.045,0.94,"sigma2=0.4,rho=0.1",0.0860851081,0.0928735164406022,0.106767967832351,0.95,200,-0.2649148919,0.0478735164406022,0.061767967832351,0.01
0.4,0.1,"Proposed Method (ADVI)","beta3",0.424,0.046,0.045,0.94,"sigma2=0.4,rho=0.1",0.1160148138,0.12618954525646,0.133193382794196,0.93,200,-0.3079851862,0.08018954525646,0.088193382794196,-0.0099999999999999
0.4,0.1,"Proposed Method (ADVI)","beta4",0.412,0.057,0.054,0.95,"sigma2=0.4,rho=0.1",0.15749721785,0.165411760377816,0.157632577612923,0.92,200,-0.25450278215,0.108411760377816,0.103632577612923,-0.0299999999999999
0.4,0.1,"Proposed Method (ADVI)","beta5",0.459,0.063,0.063,0.955,"sigma2=0.4,rho=0.1",0.1929378274,0.199816483026971,0.196161328584595,0.925,200,-0.2660621726,0.136816483026971,0.133161328584595,-0.0299999999999999
0.4,0.1,"Proposed Method (ADVI)","eta",0.083,0.022,0.022,0.935,"sigma2=0.4,rho=0.1",0.33328957492,0.343732122105447,0.238018732900551,0.76,200,0.25028957492,0.321732122105447,0.216018732900551,-0.175
0.4,0.4,"Proposed Method (ADVI)","beta1",0.371,0.032,0.033,0.945,"sigma2=0.4,rho=0.4",0.055446420495,0.0696375525082597,0.0744466496537625,0.965,200,-0.315553579505,0.0376375525082597,0.0414466496537625,0.02
0.4,0.4,"Proposed Method (ADVI)","beta2",0.323,0.059,0.059,0.955,"sigma2=0.4,rho=0.4",0.08554092275,0.0955414006970974,0.10644975521078,0.975,200,-0.23745907725,0.0365414006970974,0.04744975521078,0.02
