"method","setting","sigma2","rho","param","avgBias","avgSEE","avgSEM","avgCI","n"
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta1",0.0884730810000001,NA,0.0822153995139943,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta2",0.000348680000000101,NA,0.102116906807411,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta3",0.0413219800000002,NA,0.135432716722506,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta4",0.04349245,NA,0.159403308716373,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta5",0.0680675500000003,NA,0.190272377990405,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta6",0.079554197004,NA,0.0577123893755559,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta7",0.0655585212733,NA,0.0551804540713602,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta8",0.0676793602584,NA,0.0678563011120155,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta9",0.0410439463417,NA,0.0735005825848422,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta10",0.0759450994493,NA,0.0690278409090695,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta11",0.088411057736,NA,0.0706725782922273,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta12",0.073863194634,NA,0.065458787439101,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta13",0.069440998785017,NA,0.0706456371545733,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta14",0.027510628206,NA,0.0733243031830886,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta15",0.095454291606,NA,0.0734275397627985,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta16",0.031616425742,NA,0.0751470893625281,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta17",8.84714383000004e-05,NA,0.0573509528909186,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta18",0.006527603027,NA,0.0698300461939912,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta19",0.0423076747726,NA,0.073341653133837,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"beta20",0.0162963902901,NA,0.0774433867272155,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,"eta",0.0110610359999999,NA,0.273032780419415,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta1",0.0624149300000001,NA,0.0746074925072229,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta2",0.0727504300000001,NA,0.110840551056342,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta3",0.00461511999999997,NA,0.125352376167332,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta4",0.0785057900000004,NA,0.152756776943211,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta5",0.0837097699999996,NA,0.193726636853257,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta6",0.090799859144,NA,0.0605979559993783,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta7",0.0021230115179,NA,0.0670986550107233,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta8",0.116377766761,NA,0.0532694094345978,0,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta9",0.025086736859,NA,0.0840239558741027,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta10",0.0629192854687,NA,0.0711990476081063,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta11",0.027289183483,NA,0.0733396549449889,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta12",0.102683204923,NA,0.0834169259860194,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta13",0.0382693781473,NA,0.0660756837404691,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta14",0.02055032873758,NA,0.0661530992363508,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta15",0.057252012833,NA,0.0841437438433249,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta16",0.063175736697,NA,0.0765472093023996,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta17",0.020079993095,NA,0.0684605544545556,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta18",0.1184794877149,NA,0.0677838591045666,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta19",0.120852815622,NA,0.0718477868793019,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"beta20",0.06167595232,NA,0.0752077941520102,1,1
"Proposed Method (ADVI)","sigma2=0.1,rho=0.4",0.1,0.4,"eta",0.44572045,NA,0.290055412542919,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta1",0.017178817,NA,0.077175656329074,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta2",0.0401221199999999,NA,0.112644668617176,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta3",0.0785597299999998,NA,0.133045691633699,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta4",0.20058955,NA,0.157695774217648,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta5",0.1392992,NA,0.198820719265798,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta6",0.04098712447,NA,0.0654641511444377,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta7",0.049356353205,NA,0.0709681930098436,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta8",0.125107495499,NA,0.0640227359102375,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta9",0.019060689959,NA,0.0866786363792477,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta10",0.04063401879232,NA,0.0715418291068478,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta11",0.03499083312,NA,0.0736746204049291,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta12",0.054782125589,NA,0.0851705908276371,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta13",0.000916319842199998,NA,0.072742349413028,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta14",0.0214277851871,NA,0.0716032671362563,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta15",0.0051017255676,NA,0.0802364757327819,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta16",0.108060519063,NA,0.0794809688405345,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta17",0.065466355703,NA,0.0720049368088214,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta18",0.052974500937,NA,0.0735214969333714,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta19",0.0130802767303,NA,0.0765027119628526,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"beta20",0.103177594017,NA,0.0811203184615994,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.1",0.4,0.1,"eta",0.28193121,NA,0.240529344232825,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta1",0.078380391,NA,0.0707039345395679,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta2",0.0589026800000001,NA,0.104640810514075,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta3",0.0324709699999999,NA,0.129117744525338,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta4",0.06169475,NA,0.159174299687539,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta5",0.0179588600000002,NA,0.194939199730819,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta6",0.037424789348,NA,0.063621450365624,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta7",0.07057925021673,NA,0.0665698875938743,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta8",0.1170229557509,NA,0.0612046896925081,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta9",0.0706123969102,NA,0.0550248434756985,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta10",0.0765048017734,NA,0.0705420066841494,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta11",0.087644040434,NA,0.0747336773761703,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta12",0.040227729275,NA,0.0761935333606588,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta13",0.0101711003671,NA,0.0717067462447591,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta14",0.06838282423025,NA,0.0680672946401486,1,1
"Proposed Method (ADVI)","sigma2=0.4,rho=0.4",0.4,0.4,"beta15",0.0193067718893,NA,0.0742967096392184,1,1
