"method","setting","sigma2","rho","rep","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta1",1,1.088473081,0.0822153995139943,0.932397,1.25254225,0.0884730810000001,0.0884730810000001,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta2",2,2.00034868,0.102116906807411,1.80331425,2.20359575,0.000348680000000101,0.000348680000000101,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta3",3,3.04132198,0.135432716722506,2.77372725,3.2871215,0.0413219800000002,0.0413219800000002,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta4",-4,-3.95650755,0.159403308716373,-4.25591225,-3.64129125,0.04349245,0.04349245,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta5",-5,-4.93193245,0.190272377990405,-5.2816835,-4.5490875,0.0680675500000003,0.0680675500000003,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta6",0,-0.079554197004,0.0577123893755559,-0.192804175,0.0319333,-0.079554197004,0.079554197004,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta7",0,0.0655585212733,0.0551804540713602,-0.04025519,0.169535975,0.0655585212733,0.0655585212733,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta8",0,0.0676793602584,0.0678563011120155,-0.0686956975,0.1955121,0.0676793602584,0.0676793602584,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta9",0,-0.0410439463417,0.0735005825848422,-0.175047875,0.1031006,-0.0410439463417,0.0410439463417,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta10",0,-0.0759450994493,0.0690278409090695,-0.2119083,0.0545889875,-0.0759450994493,0.0759450994493,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta11",0,-0.088411057736,0.0706725782922273,-0.223955325,0.0584006425,-0.088411057736,0.088411057736,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta12",0,-0.073863194634,0.065458787439101,-0.20308755,0.0469395075,-0.073863194634,0.073863194634,TRUE
"Proposed Method (ADVI)","sigma2=0.1,rho=0.1",0.1,0.1,1,"beta13",0,0.069440998785017,0.0706456371545733,-0.0751101625,0.203489325,0.069440998785017,0.069440998785017,TRUE
