"setting","sigma2","rho","rep","method","seconds"
"sigma2=0.1,rho=0.1",0.1,0.1,1,"Proposed Method (ADVI)",23.019
"sigma2=0.1,rho=0.1",0.1,0.1,2,"Proposed Method (ADVI)",1.788
"sigma2=0.1,rho=0.1",0.1,0.1,3,"Proposed Method (ADVI)",1.743
"sigma2=0.1,rho=0.1",0.1,0.1,4,"Proposed Method (ADVI)",1.756
"sigma2=0.1,rho=0.1",0.1,0.1,5,"Proposed Method (ADVI)",1.742
"sigma2=0.1,rho=0.1",0.1,0.1,6,"Proposed Method (ADVI)",1.741
"sigma2=0.1,rho=0.1",0.1,0.1,7,"Proposed Method (ADVI)",1.752
"sigma2=0.1,rho=0.1",0.1,0.1,8,"Proposed Method (ADVI)",1.812
"sigma2=0.1,rho=0.1",0.1,0.1,9,"Proposed Method (ADVI)",1.75
"sigma2=0.1,rho=0.1",0.1,0.1,10,"Proposed Method (ADVI)",1.752
"sigma2=0.1,rho=0.1",0.1,0.1,11,"Proposed Method (ADVI)",1.74100000000001
"sigma2=0.1,rho=0.1",0.1,0.1,12,"Proposed Method (ADVI)",1.775
"sigma2=0.1,rho=0.1",0.1,0.1,13,"Proposed Method (ADVI)",1.739
"sigma2=0.1,rho=0.1",0.1,0.1,14,"Proposed Method (ADVI)",1.739
"sigma2=0.1,rho=0.1",0.1,0.1,15,"Proposed Method (ADVI)",1.748
"sigma2=0.1,rho=0.1",0.1,0.1,16,"Proposed Method (ADVI)",1.734
"sigma2=0.1,rho=0.1",0.1,0.1,17,"Proposed Method (ADVI)",1.808
"sigma2=0.1,rho=0.1",0.1,0.1,18,"Proposed Method (ADVI)",1.745
"sigma2=0.1,rho=0.1",0.1,0.1,19,"Proposed Method (ADVI)",1.736
"sigma2=0.1,rho=0.1",0.1,0.1,20,"Proposed Method (ADVI)",1.743
"sigma2=0.1,rho=0.1",0.1,0.1,21,"Proposed Method (ADVI)",1.73699999999999
"sigma2=0.1,rho=0.1",0.1,0.1,22,"Proposed Method (ADVI)",1.745
"sigma2=0.1,rho=0.1",0.1,0.1,23,"Proposed Method (ADVI)",1.742
"sigma2=0.1,rho=0.1",0.1,0.1,24,"Proposed Method (ADVI)",1.767
"sigma2=0.1,rho=0.1",0.1,0.1,25,"Proposed Method (ADVI)",1.76400000000001
"sigma2=0.1,rho=0.1",0.1,0.1,26,"Proposed Method (ADVI)",1.73699999999999
"sigma2=0.1,rho=0.1",0.1,0.1,27,"Proposed Method (ADVI)",1.762
"sigma2=0.1,rho=0.1",0.1,0.1,28,"Proposed Method (ADVI)",1.78
"sigma2=0.1,rho=0.1",0.1,0.1,29,"Proposed Method (ADVI)",1.75
"sigma2=0.1,rho=0.1",0.1,0.1,30,"Proposed Method (ADVI)",1.739
"sigma2=0.1,rho=0.1",0.1,0.1,31,"Proposed Method (ADVI)",1.736
"sigma2=0.1,rho=0.1",0.1,0.1,32,"Proposed Method (ADVI)",1.76
"sigma2=0.1,rho=0.1",0.1,0.1,33,"Proposed Method (ADVI)",1.757
"sigma2=0.1,rho=0.1",0.1,0.1,34,"Proposed Method (ADVI)",1.74
"sigma2=0.1,rho=0.1",0.1,0.1,35,"Proposed Method (ADVI)",1.753
"sigma2=0.1,rho=0.1",0.1,0.1,36,"Proposed Method (ADVI)",1.741
"sigma2=0.1,rho=0.1",0.1,0.1,37,"Proposed Method (ADVI)",1.783
"sigma2=0.1,rho=0.1",0.1,0.1,38,"Proposed Method (ADVI)",1.743
"sigma2=0.1,rho=0.1",0.1,0.1,39,"Proposed Method (ADVI)",1.767
"sigma2=0.1,rho=0.1",0.1,0.1,40,"Proposed Method (ADVI)",1.795
"sigma2=0.1,rho=0.1",0.1,0.1,41,"Proposed Method (ADVI)",1.759
"sigma2=0.1,rho=0.1",0.1,0.1,42,"Proposed Method (ADVI)",1.764
"sigma2=0.1,rho=0.1",0.1,0.1,43,"Proposed Method (ADVI)",1.755
"sigma2=0.1,rho=0.1",0.1,0.1,44,"Proposed Method (ADVI)",1.74000000000001
"sigma2=0.1,rho=0.1",0.1,0.1,45,"Proposed Method (ADVI)",1.74200000000002
"sigma2=0.1,rho=0.1",0.1,0.1,46,"Proposed Method (ADVI)",1.744
"sigma2=0.1,rho=0.1",0.1,0.1,47,"Proposed Method (ADVI)",1.74000000000001
"sigma2=0.1,rho=0.1",0.1,0.1,48,"Proposed Method (ADVI)",1.76600000000002
"sigma2=0.1,rho=0.1",0.1,0.1,49,"Proposed Method (ADVI)",1.739
"sigma2=0.1,rho=0.1",0.1,0.1,50,"Proposed Method (ADVI)",1.75999999999999
"sigma2=0.1,rho=0.1",0.1,0.1,51,"Proposed Method (ADVI)",1.744
"sigma2=0.1,rho=0.1",0.1,0.1,52,"Proposed Method (ADVI)",1.74300000000002
"sigma2=0.1,rho=0.1",0.1,0.1,53,"Proposed Method (ADVI)",1.75
"sigma2=0.1,rho=0.1",0.1,0.1,54,"Proposed Method (ADVI)",1.744
"sigma2=0.1,rho=0.1",0.1,0.1,55,"Proposed Method (ADVI)",1.74599999999998
"sigma2=0.1,rho=0.1",0.1,0.1,56,"Proposed Method (ADVI)",1.743
"sigma2=0.1,rho=0.1",0.1,0.1,57,"Proposed Method (ADVI)",1.74499999999998
"sigma2=0.1,rho=0.1",0.1,0.1,58,"Proposed Method (ADVI)",1.744
"sigma2=0.1,rho=0.1",0.1,0.1,59,"Proposed Method (ADVI)",1.73699999999999
"sigma2=0.1,rho=0.1",0.1,0.1,60,"Proposed Method (ADVI)",1.738
"sigma2=0.1,rho=0.1",0.1,0.1,61,"Proposed Method (ADVI)",1.74199999999999
"sigma2=0.1,rho=0.1",0.1,0.1,62,"Proposed Method (ADVI)",1.761
"sigma2=0.1,rho=0.1",0.1,0.1,63,"Proposed Method (ADVI)",1.74600000000001
"sigma2=0.1,rho=0.1",0.1,0.1,64,"Proposed Method (ADVI)",1.74000000000001
"sigma2=0.1,rho=0.1",0.1,0.1,65,"Proposed Method (ADVI)",1.779
"sigma2=0.1,rho=0.1",0.1,0.1,66,"Proposed Method (ADVI)",1.76500000000001
"sigma2=0.1,rho=0.1",0.1,0.1,67,"Proposed Method (ADVI)",1.751
"sigma2=0.1,rho=0.1",0.1,0.1,68,"Proposed Method (ADVI)",1.73899999999998
"sigma2=0.1,rho=0.1",0.1,0.1,69,"Proposed Method (ADVI)",1.739
"sigma2=0.1,rho=0.1",0.1,0.1,70,"Proposed Method (ADVI)",1.82599999999999
"sigma2=0.1,rho=0.1",0.1,0.1,71,"Proposed Method (ADVI)",1.75300000000001
"sigma2=0.1,rho=0.1",0.1,0.1,72,"Proposed Method (ADVI)",1.749
"sigma2=0.1,rho=0.1",0.1,0.1,73,"Proposed Method (ADVI)",1.767
"sigma2=0.1,rho=0.1",0.1,0.1,74,"Proposed Method (ADVI)",1.76900000000001
"sigma2=0.1,rho=0.1",0.1,0.1,75,"Proposed Method (ADVI)",1.755
"sigma2=0.1,rho=0.1",0.1,0.1,76,"Proposed Method (ADVI)",1.74099999999999
"sigma2=0.1,rho=0.1",0.1,0.1,77,"Proposed Method (ADVI)",1.74199999999999
"sigma2=0.1,rho=0.1",0.1,0.1,78,"Proposed Method (ADVI)",1.74499999999998
"sigma2=0.1,rho=0.1",0.1,0.1,79,"Proposed Method (ADVI)",1.743
"sigma2=0.1,rho=0.1",0.1,0.1,80,"Proposed Method (ADVI)",1.745
"sigma2=0.1,rho=0.1",0.1,0.1,81,"Proposed Method (ADVI)",1.738
"sigma2=0.1,rho=0.1",0.1,0.1,82,"Proposed Method (ADVI)",1.75199999999998
"sigma2=0.1,rho=0.1",0.1,0.1,83,"Proposed Method (ADVI)",1.75099999999998
"sigma2=0.1,rho=0.1",0.1,0.1,84,"Proposed Method (ADVI)",1.755
"sigma2=0.1,rho=0.1",0.1,0.1,85,"Proposed Method (ADVI)",1.743
"sigma2=0.1,rho=0.1",0.1,0.1,86,"Proposed Method (ADVI)",1.74599999999998
"sigma2=0.1,rho=0.1",0.1,0.1,87,"Proposed Method (ADVI)",1.745
"sigma2=0.1,rho=0.1",0.1,0.1,88,"Proposed Method (ADVI)",1.767
"sigma2=0.1,rho=0.1",0.1,0.1,89,"Proposed Method (ADVI)",1.75399999999999
"sigma2=0.1,rho=0.1",0.1,0.1,90,"Proposed Method (ADVI)",1.74099999999999
"sigma2=0.1,rho=0.1",0.1,0.1,91,"Proposed Method (ADVI)",1.744
"sigma2=0.1,rho=0.1",0.1,0.1,92,"Proposed Method (ADVI)",1.74600000000001
"sigma2=0.1,rho=0.1",0.1,0.1,93,"Proposed Method (ADVI)",1.745
"sigma2=0.1,rho=0.1",0.1,0.1,94,"Proposed Method (ADVI)",1.73599999999999
"sigma2=0.1,rho=0.1",0.1,0.1,95,"Proposed Method (ADVI)",1.738
