"setting","method","param","target_avgBias","target_avgSEE","target_avgSEM","target_avgCI","kind","avgBias","avgSEE","avgSEM","avgCI","meanMissing","n","delta_avgBias","delta_avgSEE","delta_avgSEM","delta_avgCI"
"10 Missing Spots","Missing first-pass (ADVI)","beta1",0.335,0.043,0.043,0.95,"ignorable",0.17155033443,0.17293517358761,0.183692091022288,0.895,10,200,-0.16344966557,0.12993517358761,0.140692091022288,-0.0549999999999999
"10 Missing Spots","Missing first-pass (ADVI)","beta2",0.449,0.056,0.057,0.95,"ignorable",0.26336091935,0.219505831565988,0.242780572206839,0.91,10,200,-0.18563908065,0.163505831565988,0.185780572206839,-0.0399999999999999
"10 Missing Spots","Missing first-pass (ADVI)","beta3",0.465,0.048,0.048,0.955,"ignorable",0.3708313316,0.267816273523264,0.324469367668079,0.915,10,200,-0.0941686684,0.219816273523264,0.276469367668079,-0.0399999999999999
"10 Missing Spots","Missing first-pass (ADVI)","beta4",0.536,0.039,0.039,0.965,"ignorable",0.51572888625,0.336650789467869,0.409735160827486,0.885,10,200,-0.02027111375,0.297650789467869,0.370735160827486,-0.08
"10 Missing Spots","Missing first-pass (ADVI)","beta5",0.552,0.055,0.056,0.935,"ignorable",0.6084599588,0.388477404461919,0.492566450810414,0.89,10,200,0.0564599588,0.333477404461919,0.436566450810414,-0.045
"10 Missing Spots","Missing first-pass (ADVI)","eta",0.089,0.011,0.012,0.955,"ignorable",0.325450394765,0.299278495122127,0.346250213729707,0.865,10,200,0.236450394765,0.288278495122127,0.334250213729707,-0.09
"30 Missing Spots","Missing first-pass (ADVI)","beta1",0.535,0.028,0.028,0.97,"ignorable",0.21094842649975,0.207994332958445,0.189263351476086,0.845,30,200,-0.32405157350025,0.179994332958445,0.161263351476086,-0.125
"30 Missing Spots","Missing first-pass (ADVI)","beta2",0.796,0.028,0.029,0.955,"ignorable",0.3005452444,0.235816796921518,0.248337086118725,0.86,30,200,-0.4954547556,0.207816796921518,0.219337086118725,-0.095
"30 Missing Spots","Missing first-pass (ADVI)","beta3",0.664,0.038,0.038,0.95,"ignorable",0.40697707685,0.277927443704155,0.333035774760214,0.855,30,200,-0.25702292315,0.239927443704155,0.295035774760214,-0.095
"30 Missing Spots","Missing first-pass (ADVI)","beta4",0.816,0.048,0.047,0.965,"ignorable",0.5754293458,0.366846259702746,0.419172355259621,0.8,30,200,-0.2405706542,0.318846259702746,0.372172355259621,-0.165
"30 Missing Spots","Missing first-pass (ADVI)","beta5",0.787,0.047,0.047,0.955,"ignorable",0.6998646272,0.423740354561067,0.505763868561103,0.78,30,200,-0.0871353728,0.376740354561067,0.458763868561103,-0.175
"30 Missing Spots","Missing first-pass (ADVI)","eta",0.156,0.029,0.029,0.95,"ignorable",0.353242302025,0.336656624552918,0.353366574512438,0.88,30,200,0.197242302025,0.307656624552918,0.324366574512438,-0.07
"gamma=(-6,1,4)","Missing first-pass (ADVI)","beta1",0.398,0.041,0.041,0.945,"nonignorable",0.1986317981,0.192529243329835,0.184654671611825,0.85,4.17,200,-0.1993682019,0.151529243329835,0.143654671611825,-0.095
"gamma=(-6,1,4)","Missing first-pass (ADVI)","beta2",0.349,0.037,0.037,0.94,"nonignorable",0.26699890215,0.239031986764106,0.242308046770972,0.845,4.17,200,-0.08200109785,0.202031986764106,0.205308046770972,-0.095
"gamma=(-6,1,4)","Missing first-pass (ADVI)","beta3",0.489,0.048,0.048,0.94,"nonignorable",0.3718448049,0.305875740195158,0.323293497821062,0.86,4.17,200,-0.1171551951,0.257875740195158,0.275293497821062,-0.08
"gamma=(-6,1,4)","Missing first-pass (ADVI)","beta4",0.501,0.05,0.051,0.955,"nonignorable",0.5020126551,0.350598456167389,0.407531819506452,0.84,4.17,200,0.00101265510000004,0.300598456167389,0.356531819506452,-0.115
"gamma=(-6,1,4)","Missing first-pass (ADVI)","beta5",0.471,0.059,0.056,0.955,"nonignorable",0.64236581815,0.448769066435303,0.493834050291656,0.83,4.17,200,0.17136581815,0.389769066435303,0.437834050291656,-0.125
"gamma=(-6,1,4)","Missing first-pass (ADVI)","eta",0.062,0.052,0.052,0.955,"nonignorable",0.324551885055,0.307440440859199,0.344402152032785,0.865,4.17,200,0.262551885055,0.255440440859199,0.292402152032785,-0.09
"gamma=(-5,1,1.6)","Missing first-pass (ADVI)","beta1",0.438,0.046,0.045,0.95,"nonignorable",0.1716760589445,0.171604009897378,0.18416305538222,0.905,11.895,200,-0.2663239410555,0.125604009897378,0.13916305538222,-0.0449999999999999
"gamma=(-5,1,1.6)","Missing first-pass (ADVI)","beta2",0.451,0.048,0.047,0.955,"nonignorable",0.27562600165,0.2204144070162,0.244308432777368,0.895,11.895,200,-0.17537399835,0.1724144070162,0.197308432777368,-0.0599999999999999
"gamma=(-5,1,1.6)","Missing first-pass (ADVI)","beta3",0.511,0.053,0.053,0.96,"nonignorable",0.35860961875,0.277172158716665,0.323870415680518,0.89,11.895,200,-0.15239038125,0.224172158716665,0.270870415680518,-0.07
"gamma=(-5,1,1.6)","Missing first-pass (ADVI)","beta4",0.519,0.042,0.045,0.955,"nonignorable",0.49599339795,0.364967149320246,0.407739544350483,0.88,11.895,200,-0.02300660205,0.322967149320246,0.362739544350483,-0.075
"gamma=(-5,1,1.6)","Missing first-pass (ADVI)","beta5",0.507,0.055,0.055,0.925,"nonignorable",0.61632463205,0.415423304286799,0.493884473920979,0.87,11.895,200,0.10932463205,0.360423304286799,0.438884473920979,-0.055
"gamma=(-5,1,1.6)","Missing first-pass (ADVI)","eta",0.066,0.055,0.055,0.95,"nonignorable",0.308998135405,0.3145534746286,0.345078977385466,0.915,11.895,200,0.242998135405,0.2595534746286,0.290078977385466,-0.0349999999999999
