"method","setting","kind","param","avgBias","avgSEE","avgSEM","avgCI","meanMissing","n"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta1",0.267042083,NA,0.16656197298067,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta2",0.26694063,NA,0.204863597906632,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta3",0.0621971000000001,NA,0.285906681465293,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta4",0.51656791,NA,0.309018130871539,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta5",0.26909059,NA,0.41322687785275,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta6",0.104953598221,NA,0.148737150646629,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta7",0.107666862016,NA,0.175209669933461,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta8",0.021952147905,NA,0.152263015405869,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta9",0.141789984676,NA,0.17711903248753,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta10",0.0403229773647,NA,0.138797076696149,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta11",0.36284986681,NA,0.152095739078945,0,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta12",0.230627493139,NA,0.157344047028815,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta13",0.003370761512,NA,0.1664881243346,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta14",0.219783916947,NA,0.144240309158021,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta15",0.13905506249,NA,0.138344240469235,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta16",0.097242814012,NA,0.137829815446504,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta17",0.016408639764,NA,0.154260042863518,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta18",0.061135956764,NA,0.152552731758858,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta19",0.062762799514,NA,0.140302759988128,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","beta20",0.229976842113,NA,0.147667291002819,1,10,1
"Missing first-pass (ADVI)","10 Missing Spots","ignorable","eta",0.128525585,NA,0.297132100727305,1,10,1
"Missing first-pass (ADVI)","30 Missing Spots","ignorable","beta1",0.142733753,NA,0.175465776015486,1,30,1
