"method","setting","kind","rep","missing","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta1",1,0.732957917,0.16656197298067,0.426192275,1.08340675,-0.267042083,0.267042083,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta2",2,1.73305937,0.204863597906632,1.33098575,2.143824,-0.26694063,0.26694063,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta3",3,2.9378029,0.285906681465293,2.36056225,3.4871615,-0.0621971000000001,0.0621971000000001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta4",-4,-3.48343209,0.309018130871539,-4.09267225,-2.86786475,0.51656791,0.51656791,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta5",-5,-4.73090941,0.41322687785275,-5.52345175,-3.896122,0.26909059,0.26909059,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta6",0,0.104953598221,0.148737150646629,-0.189305325,0.386175,0.104953598221,0.104953598221,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta7",0,-0.107666862016,0.175209669933461,-0.452640375,0.2297112,-0.107666862016,0.107666862016,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta8",0,-0.021952147905,0.152263015405869,-0.312362575,0.279233725,-0.021952147905,0.021952147905,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta9",0,-0.141789984676,0.17711903248753,-0.48691605,0.202473225,-0.141789984676,0.141789984676,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta10",0,-0.0403229773647,0.138797076696149,-0.312495075,0.237870625,-0.0403229773647,0.0403229773647,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta11",0,-0.36284986681,0.152095739078945,-0.65425285,-0.07544295,-0.36284986681,0.36284986681,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta12",0,0.230627493139,0.157344047028815,-0.100344475,0.5470746,0.230627493139,0.230627493139,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta13",0,-0.003370761512,0.1664881243346,-0.32334245,0.330245675,-0.003370761512,0.003370761512,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta14",0,-0.219783916947,0.144240309158021,-0.501503475,0.05035748,-0.219783916947,0.219783916947,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta15",0,-0.13905506249,0.138344240469235,-0.41692785,0.131238,-0.13905506249,0.13905506249,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta16",0,-0.097242814012,0.137829815446504,-0.343306525,0.188561175,-0.097242814012,0.097242814012,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta17",0,0.016408639764,0.154260042863518,-0.27136065,0.32341785,0.016408639764,0.016408639764,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta18",0,-0.061135956764,0.152552731758858,-0.361107225,0.226899175,-0.061135956764,0.061135956764,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta19",0,0.062762799514,0.140302759988128,-0.2178985,0.3291676,0.062762799514,0.062762799514,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"beta20",0,-0.229976842113,0.147667291002819,-0.5131057,0.054743375,-0.229976842113,0.229976842113,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",1,10,"eta",1.6,1.471474415,0.297132100727305,0.951891025,2.102351,-0.128525585,0.128525585,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta1",1,1.346042636,0.185785965289712,1.003873,1.73694325,0.346042636,0.346042636,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta2",2,2.43957687,0.249432303911377,1.9389035,2.94395525,0.43957687,0.43957687,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta3",3,3.50579901,0.343574361782124,2.83784325,4.223354,0.50579901,0.50579901,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta4",-4,-5.01494461,0.446905824375683,-5.91172575,-4.117999,-1.01494461,1.01494461,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta5",-5,-5.87012181,0.518219339082423,-6.8499755,-4.8586715,-0.87012181,0.87012181,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta6",0,0.191577861124,0.160487530588368,-0.134278575,0.491933375,0.191577861124,0.191577861124,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta7",0,-0.161536654359,0.199670289321006,-0.550694775,0.242019,-0.161536654359,0.161536654359,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta8",0,-0.00827078859580001,0.16069983322414,-0.31696875,0.313259825,-0.00827078859580001,0.00827078859580001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta9",0,-0.039505022991,0.191425016214702,-0.419564475,0.344089275,-0.039505022991,0.039505022991,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta10",0,-0.1126554210997,0.161574526899164,-0.429332825,0.21308475,-0.1126554210997,0.1126554210997,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta11",0,0.157234305328,0.186639105962717,-0.20898925,0.51071505,0.157234305328,0.157234305328,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta12",0,0.129868645198,0.177066823530486,-0.225952225,0.4878812,0.129868645198,0.129868645198,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta13",0,0.028710517465,0.187822125295753,-0.339247925,0.39959135,0.028710517465,0.028710517465,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",2,10,"beta14",0,0.101371582662,0.166719772095531,-0.2360614,0.418659675,0.101371582662,0.101371582662,TRUE
