"setting","kind","rep","method","seconds"
"10 Missing Spots","ignorable",1,"Missing first-pass (ADVI)",18.986
"10 Missing Spots","ignorable",2,"Missing first-pass (ADVI)",0.286000000000001
"10 Missing Spots","ignorable",3,"Missing first-pass (ADVI)",0.239000000000001
"10 Missing Spots","ignorable",4,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",5,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",6,"Missing first-pass (ADVI)",0.239000000000001
"10 Missing Spots","ignorable",7,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",8,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",9,"Missing first-pass (ADVI)",0.239999999999998
"10 Missing Spots","ignorable",10,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",11,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",12,"Missing first-pass (ADVI)",0.237000000000002
"10 Missing Spots","ignorable",13,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",14,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",15,"Missing first-pass (ADVI)",0.236000000000001
"10 Missing Spots","ignorable",16,"Missing first-pass (ADVI)",0.237000000000002
"10 Missing Spots","ignorable",17,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",18,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",19,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",20,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",21,"Missing first-pass (ADVI)",0.237000000000002
"10 Missing Spots","ignorable",22,"Missing first-pass (ADVI)",0.237000000000002
"10 Missing Spots","ignorable",23,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",24,"Missing first-pass (ADVI)",0.239000000000001
"10 Missing Spots","ignorable",25,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",26,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",27,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",28,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",29,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",30,"Missing first-pass (ADVI)",0.238000000000007
"10 Missing Spots","ignorable",31,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",32,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",33,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",34,"Missing first-pass (ADVI)",0.237000000000002
"10 Missing Spots","ignorable",35,"Missing first-pass (ADVI)",0.238000000000007
"10 Missing Spots","ignorable",36,"Missing first-pass (ADVI)",0.237000000000002
"10 Missing Spots","ignorable",37,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",38,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",39,"Missing first-pass (ADVI)",0.238000000000007
"10 Missing Spots","ignorable",40,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",41,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",42,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",43,"Missing first-pass (ADVI)",0.241999999999997
"10 Missing Spots","ignorable",44,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",45,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",46,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",47,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",48,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",49,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",50,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",51,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",52,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",53,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",54,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",55,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",56,"Missing first-pass (ADVI)",0.238000000000007
"10 Missing Spots","ignorable",57,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",58,"Missing first-pass (ADVI)",0.265000000000001
"10 Missing Spots","ignorable",59,"Missing first-pass (ADVI)",0.265999999999998
"10 Missing Spots","ignorable",60,"Missing first-pass (ADVI)",0.241999999999997
"10 Missing Spots","ignorable",61,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",62,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",63,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",64,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",65,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",66,"Missing first-pass (ADVI)",0.241999999999997
"10 Missing Spots","ignorable",67,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",68,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",69,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",70,"Missing first-pass (ADVI)",0.241999999999997
"10 Missing Spots","ignorable",71,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",72,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",73,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",74,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",75,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",76,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",77,"Missing first-pass (ADVI)",0.244
"10 Missing Spots","ignorable",78,"Missing first-pass (ADVI)",0.243000000000002
"10 Missing Spots","ignorable",79,"Missing first-pass (ADVI)",0.243000000000002
"10 Missing Spots","ignorable",80,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",81,"Missing first-pass (ADVI)",0.243000000000002
"10 Missing Spots","ignorable",82,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",83,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",84,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",85,"Missing first-pass (ADVI)",0.282000000000004
"10 Missing Spots","ignorable",86,"Missing first-pass (ADVI)",0.244999999999997
"10 Missing Spots","ignorable",87,"Missing first-pass (ADVI)",0.241000000000007
"10 Missing Spots","ignorable",88,"Missing first-pass (ADVI)",0.243000000000002
"10 Missing Spots","ignorable",89,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",90,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",91,"Missing first-pass (ADVI)",0.245000000000005
"10 Missing Spots","ignorable",92,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",93,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",94,"Missing first-pass (ADVI)",0.241999999999997
"10 Missing Spots","ignorable",95,"Missing first-pass (ADVI)",0.238999999999997
"10 Missing Spots","ignorable",96,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",97,"Missing first-pass (ADVI)",0.244999999999997
"10 Missing Spots","ignorable",98,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",99,"Missing first-pass (ADVI)",0.243000000000002
"10 Missing Spots","ignorable",100,"Missing first-pass (ADVI)",0.243000000000002
"10 Missing Spots","ignorable",101,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",102,"Missing first-pass (ADVI)",0.240000000000002
"10 Missing Spots","ignorable",103,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",104,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",105,"Missing first-pass (ADVI)",0.25500000000001
"10 Missing Spots","ignorable",106,"Missing first-pass (ADVI)",0.242999999999995
"10 Missing Spots","ignorable",107,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",108,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",109,"Missing first-pass (ADVI)",0.242999999999995
"10 Missing Spots","ignorable",110,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",111,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",112,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",113,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",114,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",115,"Missing first-pass (ADVI)",0.24199999999999
"10 Missing Spots","ignorable",116,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",117,"Missing first-pass (ADVI)",0.243000000000009
"10 Missing Spots","ignorable",118,"Missing first-pass (ADVI)",0.242999999999995
"10 Missing Spots","ignorable",119,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",120,"Missing first-pass (ADVI)",0.240000000000009
"10 Missing Spots","ignorable",121,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",122,"Missing first-pass (ADVI)",0.245000000000005
"10 Missing Spots","ignorable",123,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",124,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",125,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",126,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",127,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",128,"Missing first-pass (ADVI)",0.241000000000014
"10 Missing Spots","ignorable",129,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",130,"Missing first-pass (ADVI)",0.239000000000004
"10 Missing Spots","ignorable",131,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",132,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",133,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",134,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",135,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",136,"Missing first-pass (ADVI)",0.239000000000004
"10 Missing Spots","ignorable",137,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",138,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",139,"Missing first-pass (ADVI)",0.239000000000004
"10 Missing Spots","ignorable",140,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",141,"Missing first-pass (ADVI)",0.23899999999999
"10 Missing Spots","ignorable",142,"Missing first-pass (ADVI)",0.259
"10 Missing Spots","ignorable",143,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",144,"Missing first-pass (ADVI)",0.24499999999999
"10 Missing Spots","ignorable",145,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",146,"Missing first-pass (ADVI)",0.24199999999999
"10 Missing Spots","ignorable",147,"Missing first-pass (ADVI)",0.242999999999995
"10 Missing Spots","ignorable",148,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",149,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",150,"Missing first-pass (ADVI)",0.246000000000009
"10 Missing Spots","ignorable",151,"Missing first-pass (ADVI)",0.24199999999999
"10 Missing Spots","ignorable",152,"Missing first-pass (ADVI)",0.23899999999999
"10 Missing Spots","ignorable",153,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",154,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",155,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",156,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",157,"Missing first-pass (ADVI)",0.243000000000009
"10 Missing Spots","ignorable",158,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",159,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",160,"Missing first-pass (ADVI)",0.246000000000009
"10 Missing Spots","ignorable",161,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",162,"Missing first-pass (ADVI)",0.23899999999999
"10 Missing Spots","ignorable",163,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",164,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",165,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",166,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",167,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",168,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",169,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",170,"Missing first-pass (ADVI)",0.244
"10 Missing Spots","ignorable",171,"Missing first-pass (ADVI)",0.24499999999999
"10 Missing Spots","ignorable",172,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",173,"Missing first-pass (ADVI)",0.242999999999995
"10 Missing Spots","ignorable",174,"Missing first-pass (ADVI)",0.240000000000009
"10 Missing Spots","ignorable",175,"Missing first-pass (ADVI)",0.24199999999999
"10 Missing Spots","ignorable",176,"Missing first-pass (ADVI)",0.239999999999995
"10 Missing Spots","ignorable",177,"Missing first-pass (ADVI)",0.239000000000004
"10 Missing Spots","ignorable",178,"Missing first-pass (ADVI)",0.238
"10 Missing Spots","ignorable",179,"Missing first-pass (ADVI)",0.239000000000004
"10 Missing Spots","ignorable",180,"Missing first-pass (ADVI)",0.244
"10 Missing Spots","ignorable",181,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",182,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",183,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",184,"Missing first-pass (ADVI)",0.24199999999999
"10 Missing Spots","ignorable",185,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",186,"Missing first-pass (ADVI)",0.242000000000004
"10 Missing Spots","ignorable",187,"Missing first-pass (ADVI)",0.241000000000014
"10 Missing Spots","ignorable",188,"Missing first-pass (ADVI)",0.243000000000009
"10 Missing Spots","ignorable",189,"Missing first-pass (ADVI)",0.240000000000009
"10 Missing Spots","ignorable",190,"Missing first-pass (ADVI)",0.243000000000009
"10 Missing Spots","ignorable",191,"Missing first-pass (ADVI)",0.239000000000004
"10 Missing Spots","ignorable",192,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",193,"Missing first-pass (ADVI)",0.241
"10 Missing Spots","ignorable",194,"Missing first-pass (ADVI)",0.241
