"sigma2","rho","algorithm","rep","eta_mean","posterior_sd","stan_mcse","draw_mcse","n_draws","q025","q975","abs_bias","covered","seconds"
0.1,0.1,"meanfield",1,1.76171049,0.121559417919571,NA,0.0038440463167013,1000,1.5301535,2.005778,0.16171049,TRUE,22.703
0.1,0.1,"meanfield",2,1.45592343,0.0935329441158037,NA,0.00295777139667184,1000,1.29054875,1.65289325,0.14407657,TRUE,1.583
0.1,0.1,"meanfield",3,1.8492572,0.103256007571761,NA,0.00326524166022358,1000,1.6534275,2.05373725,0.2492572,FALSE,1.59099999999999
0.1,0.1,"meanfield",4,1.96640389,0.0997570952535273,NA,0.00315459633763518,1000,1.76202925,2.1610725,0.36640389,FALSE,1.57599999999999
0.1,0.1,"meanfield",5,1.89084721,0.110168932904396,NA,0.00348384755368159,1000,1.68189775,2.11371275,0.29084721,FALSE,1.583
0.1,0.1,"meanfield",6,1.60437247,0.108840103598584,NA,0.00344182628140214,1000,1.411738,1.83398325,0.00437246999999985,TRUE,1.586
0.1,0.1,"meanfield",7,1.732456,0.125711680449358,NA,0.0039753523870723,1000,1.4960985,1.99646225,0.132456,TRUE,1.577
0.1,0.1,"meanfield",8,1.67047622,0.102051925522326,NA,0.00322716524256419,1000,1.48764,1.887298,0.07047622,TRUE,1.58399999999999
0.1,0.1,"meanfield",9,1.39352056,0.105462638254284,NA,0.00333502144933941,1000,1.19643775,1.6083985,0.20647944,TRUE,1.571
0.1,0.1,"meanfield",10,1.52105579,0.108985233758309,NA,0.00344641570002129,1000,1.31699575,1.75275125,0.0789442100000002,TRUE,1.59299999999999
0.1,0.4,"meanfield",1,1.85418879,0.124407619831375,NA,0.00393411436947479,1000,1.6104975,2.0924605,0.25418879,FALSE,1.58200000000001
0.1,0.4,"meanfield",2,1.44445726,0.106052931865412,NA,0.00335368817233351,1000,1.2331415,1.6661535,0.15554274,TRUE,1.57599999999999
0.1,0.4,"meanfield",3,1.292610652,0.117424213761457,NA,0.00371327967940693,1000,1.075582,1.53593,0.307389348,FALSE,1.578
0.1,0.4,"meanfield",4,1.71996236,0.0991144902080398,NA,0.00313427538183862,1000,1.52591475,1.910936,0.11996236,TRUE,1.57599999999999
0.1,0.4,"meanfield",5,1.183765894,0.110698113427724,NA,0.00350058171115276,1000,0.969177125,1.3962155,0.416234106,FALSE,1.574
