"algorithm","neighbor_scale","x_mode","rep","eta_mean","posterior_sd","stan_mcse","draw_mcse","n_draws","q025","q975","abs_bias","covered","seconds"
"meanfield","average","fixed",1,0.775671555,0.2583019921574,NA,0.00816822619376333,1000,0.370986475,1.36364825,0.375671555,TRUE,19.856
"meanfield","average","fixed",2,0.550415716,0.252123227503819,NA,0.00797283649944875,1000,0.2002032,1.1359395,0.150415716,TRUE,0.246000000000002
"meanfield","average","fixed",3,0.19412297628,0.24602827377098,NA,0.00778009713915761,1000,0.02131071,0.810531425,0.20587702372,TRUE,0.198
"meanfield","average","fixed",4,0.399588102,0.27596127099316,NA,0.00872666162333341,1000,0.0877387125,1.135188,0.000411898000000022,TRUE,0.199000000000002
"meanfield","average","fixed",5,0.3050904941,0.223797050698432,NA,0.00707708413835222,1000,0.064936015,0.849319175,0.0949095059,TRUE,0.197999999999997
"meanfield","average","fixed",6,0.22774164436,0.270632481173802,NA,0.00855815049331854,1000,0.0244007075,0.908434875,0.17225835564,TRUE,0.199000000000002
"meanfield","average","fixed",7,0.5335528569,0.293447203235606,NA,0.00927961535230848,1000,0.1537661,1.2538215,0.1335528569,TRUE,0.207000000000001
"meanfield","average","fixed",8,0.478493554,0.312921622366379,NA,0.00989545055792847,1000,0.11201225,1.30971425,0.078493554,TRUE,0.209
"meanfield","average","fixed",9,0.19109647499,0.18975637890359,NA,0.0060006235788127,1000,0.021347045,0.7535591,0.20890352501,TRUE,0.198999999999998
"meanfield","average","fixed",10,0.3532500167,0.267013762579316,NA,0.00844371656362075,1000,0.0707255225,1.04412575,0.0467499833,TRUE,0.199000000000002
"fullrank","average","fixed",1,5.016830322,1.78622597588358,NA,0.0564854249954911,1000,1.3235375,7.60902875,4.616830322,FALSE,0.241
"fullrank","average","fixed",2,0.3456875351,0.266955715233714,NA,0.00844188094537846,1000,0.0682369075,1.04865825,0.0543124649,TRUE,0.23
"fullrank","average","fixed",3,0.5221021375,0.333452791968551,NA,0.0105447031476292,1000,0.134195875,1.458178,0.1221021375,TRUE,0.234000000000002
"fullrank","average","fixed",4,0.4052521622,0.264772455455056,NA,0.00837284020913449,1000,0.0963011125,1.09220075,0.00525216219999997,TRUE,0.228999999999999
"fullrank","average","fixed",5,0.302210681,0.280857578796141,NA,0.00888149647116018,1000,0.0487038225,0.997029874999999,0.097789319,TRUE,0.230999999999998
"fullrank","average","fixed",6,0.4252565216,0.282567081006438,NA,0.00893555567765648,1000,0.0964629475,1.194519,0.0252565216,TRUE,0.227999999999998
"fullrank","average","fixed",7,0.745611593,0.358057447322849,NA,0.0113227706672596,1000,0.2759303,1.7411465,0.345611593,TRUE,0.229000000000003
"fullrank","average","fixed",8,0.3732742808,0.258973888183915,NA,0.00818947341170938,1000,0.077108135,1.02432275,0.0267257192000001,TRUE,0.23
"fullrank","average","fixed",9,1.107949416,0.364709670033202,NA,0.0115331324199337,1000,0.524183075,1.93369375,0.707949416,FALSE,0.228000000000002
"fullrank","average","fixed",10,0.4079445695,0.284719620702596,NA,0.00900362495959432,1000,0.08511669,1.16211575,0.00794456949999994,TRUE,0.228000000000002
"meanfield","sum","fixed",1,0.460333725,0.0640166570575987,NA,0.00202438444491905,1000,0.347087725,0.5939835,0.060333725,TRUE,0.199000000000002
"meanfield","sum","fixed",2,0.665759427,0.0697880952710721,NA,0.00220689334621414,1000,0.5389492,0.8056648,0.265759427,FALSE,0.198999999999998
"meanfield","sum","fixed",3,0.36815613,0.0790670057706034,NA,0.00250031826004783,1000,0.2416931,0.54290855,0.03184387,TRUE,0.199000000000002
"meanfield","sum","fixed",4,0.5039982,0.075546904670087,NA,0.00238900288933086,1000,0.3701649,0.6649829,0.1039982,TRUE,0.199000000000002
"meanfield","sum","fixed",5,0.406136558,0.0783321856340985,NA,0.00247708120702872,1000,0.275947525,0.587355475,0.00613655799999996,TRUE,0.198999999999998
"meanfield","sum","fixed",6,0.291797229,0.0630892605878217,NA,0.0019950575935341,1000,0.1903614,0.428993675,0.108202771,TRUE,0.209
"meanfield","sum","fixed",7,0.447319825,0.0677300844013603,NA,0.00214181332823741,1000,0.328769875,0.591013,0.047319825,TRUE,0.198
"meanfield","sum","fixed",8,0.45892283,0.0671813452336026,NA,0.00212446067212281,1000,0.341297775,0.610996,0.05892283,TRUE,0.198
"meanfield","sum","fixed",9,0.52983237,0.0835046824627476,NA,0.00264064991871401,1000,0.379612625,0.714066,0.12983237,TRUE,0.198999999999998
"meanfield","sum","fixed",10,0.643484582,0.0684405121000259,NA,0.00216427902464396,1000,0.5185861,0.78017795,0.243484582,FALSE,0.198999999999998
"fullrank","sum","fixed",1,0.388168809,0.0842206409840265,NA,0.00266329051508848,1000,0.243817,0.58043825,0.011831191,TRUE,0.231999999999999
"fullrank","sum","fixed",2,4.553354431,1.80860362450644,NA,0.0571930683787629,1000,1.00824175,7.39327075,4.153354431,FALSE,0.238999999999997
"fullrank","sum","fixed",3,0.381391837,0.0804492711125773,NA,0.00254402932816133,1000,0.24401305,0.5477532,0.018608163,TRUE,0.231000000000002
"fullrank","sum","fixed",4,0.385794302,0.0799419480709356,NA,0.0025279863649506,1000,0.25013425,0.5583783,0.014205698,TRUE,0.231000000000002
"fullrank","sum","fixed",5,0.442754312,0.0874147670624434,NA,0.00276429765050387,1000,0.29677295,0.626673175,0.042754312,TRUE,0.227000000000004
"fullrank","sum","fixed",6,0.364559091,0.0823186781434323,NA,0.00260314516907567,1000,0.2319018,0.54757335,0.035440909,TRUE,0.228999999999999
"fullrank","sum","fixed",7,0.752388481,0.399685610354919,NA,0.0126391687671612,1000,0.2400585,1.77447925,0.352388481,TRUE,0.243000000000002
"fullrank","sum","fixed",8,0.427278068,0.0837199909770694,NA,0.00264745857176285,1000,0.2855412,0.612765725,0.027278068,TRUE,0.232999999999997
"fullrank","sum","fixed",9,0.459468271,0.0925906304780991,NA,0.00292797282301798,1000,0.30103425,0.6664599,0.059468271,TRUE,0.227999999999994
"fullrank","sum","fixed",10,0.382537352,0.083919697941918,NA,0.00265377386049806,1000,0.2423887,0.5682937,0.017462648,TRUE,0.228000000000002
"meanfield","average","regenerated",1,0.521687505,0.217680417458395,NA,0.00688365921184808,1000,0.2087426,1.04838,0.121687505,TRUE,0.200000000000003
"meanfield","average","regenerated",2,0.2985514113,0.290977886280529,NA,0.00920152869387932,1000,0.036671905,1.16875325,0.1014485887,TRUE,0.198999999999998
"meanfield","average","regenerated",3,0.283192913,0.248857787527607,NA,0.00786957422057482,1000,0.0443779625,0.94682285,0.116807087,TRUE,0.198999999999998
"meanfield","average","regenerated",4,0.646721234,0.240963433115733,NA,0.00761993281459359,1000,0.295987675,1.20446325,0.246721234,TRUE,0.199999999999996
"meanfield","average","regenerated",5,0.3379783634,0.26769272538202,NA,0.00846518725265152,1000,0.0585005975,0.99414835,0.0620216366,TRUE,0.208999999999996
"meanfield","average","regenerated",6,0.24440679694,0.248113701433081,NA,0.00784604415223518,1000,0.0243784025,0.9683093,0.15559320306,TRUE,0.199000000000005
