"table","group","metric","method","param","target","candidate","value","ratio","abs_log_error","parameter_class"
"C1-C3","Naive Method (ADVI)|0.4|beta1","SEE","Naive Method (ADVI)","beta1",0.019,"mean_abs_error_se_mean",0.01873,0.98559,0.01452,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta1","SEM","Naive Method (ADVI)","beta1",0.018,"mean_posterior_sd_se_mean",0.02459,1.36614,0.31199,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta2","SEE","Naive Method (ADVI)","beta2",0.025,"empirical_se_mean",0.08287,3.31496,1.19845,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta2","SEM","Naive Method (ADVI)","beta2",0.025,"mean_posterior_sd_se_mean",0.04009,1.60362,0.47227,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta3","SEE","Naive Method (ADVI)","beta3",0.038,"empirical_se_mean",0.0858,2.25781,0.81439,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta3","SEM","Naive Method (ADVI)","beta3",0.038,"mean_posterior_sd_se_mean",0.03823,1.00603,0.00601,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta4","SEE","Naive Method (ADVI)","beta4",0.059,"empirical_se_mean",0.08374,1.41936,0.35021,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta4","SEM","Naive Method (ADVI)","beta4",0.058,"rms_posterior_sd_se_mean",0.03945,0.68019,0.38538,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta5","SEE","Naive Method (ADVI)","beta5",0.064,"empirical_se_mean",0.1132,1.76879,0.57029,"beta"
"C1-C3","Naive Method (ADVI)|0.4|beta5","SEM","Naive Method (ADVI)","beta5",0.066,"sqrt_mean_posterior_variance_over_n",0.0474,0.71817,0.33105,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta1","SEE","Naive Method (ADVI)","beta1",0.016,"empirical_se_mean",0.01574,0.98353,0.01661,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta1","SEM","Naive Method (ADVI)","beta1",0.016,"mean_posterior_sd_se_mean",0.02367,1.4792,0.3915,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta2","SEE","Naive Method (ADVI)","beta2",0.025,"empirical_se_mean",0.07751,3.10024,1.13148,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta2","SEM","Naive Method (ADVI)","beta2",0.027,"mean_posterior_sd_se_mean",0.03816,1.41347,0.34605,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta3","SEE","Naive Method (ADVI)","beta3",0.034,"empirical_se_mean",0.07658,2.25246,0.81202,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta3","SEM","Naive Method (ADVI)","beta3",0.034,"mean_posterior_sd_se_mean",0.0364,1.07059,0.06821,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta4","SEE","Naive Method (ADVI)","beta4",0.067,"empirical_se_mean",0.07202,1.07491,0.07223,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta4","SEM","Naive Method (ADVI)","beta4",0.067,"sqrt_mean_posterior_variance_over_n",0.03826,0.57104,0.56029,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta5","SEE","Naive Method (ADVI)","beta5",0.069,"empirical_se_mean",0.09896,1.43421,0.36061,"beta"
"C1-C3","Naive Method (ADVI)|1.6|beta5","SEM","Naive Method (ADVI)","beta5",0.069,"sqrt_mean_posterior_variance_over_n",0.04548,0.65916,0.41679,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta1","SEE","Naive Method (ADVI)","beta1",0.017,"mean_abs_error_se_mean",0.02007,1.18053,0.16596,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta1","SEM","Naive Method (ADVI)","beta1",0.017,"mean_posterior_sd_se_mean",0.02406,1.41558,0.34754,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta2","SEE","Naive Method (ADVI)","beta2",0.027,"empirical_se_mean",0.06195,2.29463,0.83057,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta2","SEM","Naive Method (ADVI)","beta2",0.027,"mean_posterior_sd_se_mean",0.03938,1.4587,0.37754,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta3","SEE","Naive Method (ADVI)","beta3",0.038,"empirical_se_mean",0.05598,1.47306,0.38734,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta3","SEM","Naive Method (ADVI)","beta3",0.037,"mean_posterior_sd_se_mean",0.03682,0.99525,0.00476,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta4","SEE","Naive Method (ADVI)","beta4",0.063,"empirical_se_mean",0.04499,0.71409,0.33675,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta4","SEM","Naive Method (ADVI)","beta4",0.063,"sqrt_mean_posterior_variance_over_n",0.03802,0.60344,0.5051,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta5","SEE","Naive Method (ADVI)","beta5",0.072,"empirical_se_mean",0.06371,0.88487,0.12231,"beta"
"C1-C3","Naive Method (ADVI)|2.8|beta5","SEM","Naive Method (ADVI)","beta5",0.073,"sqrt_mean_posterior_variance_over_n",0.04538,0.62162,0.47542,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta1","SEE","Proposed Method (ADVI)","beta1",0.055,"rmse_se_mean",0.01731,0.3148,1.15583,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta1","SEM","Proposed Method (ADVI)","beta1",0.056,"mean_posterior_variance",0.03398,0.60673,0.49967,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta2","SEE","Proposed Method (ADVI)","beta2",0.047,"rmse_se_mean",0.02571,0.54704,0.60324,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta2","SEM","Proposed Method (ADVI)","beta2",0.047,"mean_posterior_variance",0.06051,1.28745,0.25266,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta3","SEE","Proposed Method (ADVI)","beta3",0.065,"rmse_se_mean",0.03306,0.5086,0.67609,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta3","SEM","Proposed Method (ADVI)","beta3",0.066,"mean_posterior_variance",0.10635,1.61134,0.47707,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta4","SEE","Proposed Method (ADVI)","beta4",0.047,"rmse_se_mean",0.04328,0.92081,0.0825,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta4","SEM","Proposed Method (ADVI)","beta4",0.047,"rms_posterior_sd_se_mean",0.02903,0.61763,0.48187,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta5","SEE","Proposed Method (ADVI)","beta5",0.056,"rmse_se_mean",0.05495,0.9813,0.01888,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|beta5","SEM","Proposed Method (ADVI)","beta5",0.057,"rms_posterior_sd_se_mean",0.03523,0.6181,0.48111,"beta"
"C1-C3","Proposed Method (ADVI)|0.4|eta","SEE","Proposed Method (ADVI)","eta",0.044,"rmse_se_mean",0.02181,0.49579,0.70161,"eta"
"C1-C3","Proposed Method (ADVI)|0.4|eta","SEM","Proposed Method (ADVI)","eta",0.044,"rms_posterior_sd_se_mean",0.02206,0.50133,0.69049,"eta"
"C1-C3","Proposed Method (ADVI)|1.6|beta1","SEE","Proposed Method (ADVI)","beta1",0.043,"rmse_se_mean",0.01643,0.38202,0.96228,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta1","SEM","Proposed Method (ADVI)","beta1",0.043,"mean_posterior_variance",0.03399,0.79047,0.23513,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta2","SEE","Proposed Method (ADVI)","beta2",0.032,"rmse_se_mean",0.02317,0.72398,0.32299,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta2","SEM","Proposed Method (ADVI)","beta2",0.033,"mean_posterior_variance",0.05932,1.79771,0.58652,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta3","SEE","Proposed Method (ADVI)","beta3",0.033,"rmse_se_mean",0.02974,0.90116,0.10407,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta3","SEM","Proposed Method (ADVI)","beta3",0.034,"sqrt_mean_posterior_variance_over_n",0.02293,0.67455,0.39371,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta4","SEE","Proposed Method (ADVI)","beta4",0.046,"rmse_se_mean",0.04137,0.89942,0.10601,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta4","SEM","Proposed Method (ADVI)","beta4",0.047,"rms_posterior_sd_se_mean",0.02887,0.61415,0.48751,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta5","SEE","Proposed Method (ADVI)","beta5",0.038,"mean_abs_error_se_mean",0.0432,1.13694,0.12834,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|beta5","SEM","Proposed Method (ADVI)","beta5",0.039,"rms_posterior_sd_se_mean",0.03489,0.89457,0.11141,"beta"
"C1-C3","Proposed Method (ADVI)|1.6|eta","SEE","Proposed Method (ADVI)","eta",0.069,"rmse_se_mean",0.03103,0.44965,0.79928,"eta"
"C1-C3","Proposed Method (ADVI)|1.6|eta","SEM","Proposed Method (ADVI)","eta",0.07,"mean_posterior_variance",0.11842,1.69177,0.52577,"eta"
"C1-C3","Proposed Method (ADVI)|2.8|beta1","SEE","Proposed Method (ADVI)","beta1",0.055,"mean_abs_error",0.17851,3.24567,1.17732,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta1","SEM","Proposed Method (ADVI)","beta1",0.056,"mean_posterior_variance",0.03435,0.61346,0.48864,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta2","SEE","Proposed Method (ADVI)","beta2",0.047,"rmse_se_mean",0.0224,0.47651,0.74127,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta2","SEM","Proposed Method (ADVI)","beta2",0.047,"mean_posterior_variance",0.06008,1.27824,0.24548,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta3","SEE","Proposed Method (ADVI)","beta3",0.065,"rmse_se_mean",0.0316,0.48612,0.7213,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta3","SEM","Proposed Method (ADVI)","beta3",0.066,"mean_posterior_variance",0.10623,1.60952,0.47593,"beta"
"C1-C3","Proposed Method (ADVI)|2.8|beta4","SEE","Proposed Method (ADVI)","beta4",0.047,"rmse_se_mean",0.03967,0.84409,0.1695,"beta"
