"scope","metric","candidate","n_cells","median_ratio","median_abs_log_error","rmse_log_error","within_25pct","within_2x"
"all","SEE","rmse_se_mean",81,0.66229,0.72183,1.00557,0.2716,0.44444
"all","SEE","mean_abs_error_se_mean",81,0.54629,0.84643,1.12044,0.17284,0.41975
"all","SEE","empirical_se_mean",81,0.45681,0.83057,1.12157,0.08642,0.39506
"all","SEE","empirical_sd",81,6.46032,1.86568,2.02307,0,0.04938
"all","SEE","mean_abs_error",81,7.72565,2.04455,2.27383,0.01235,0.08642
"all","SEE","rmse",81,9.3662,2.23711,2.43094,0,0.03704
"all","SEM","rms_posterior_sd_se_mean",81,0.49674,0.715,1.03734,0.06173,0.48148
"all","SEM","sqrt_mean_posterior_variance_over_n",81,0.49674,0.715,1.03734,0.06173,0.48148
"all","SEM","mean_posterior_sd_se_mean",81,0.49561,0.7131,1.03805,0.06173,0.46914
"all","SEM","mean_posterior_variance",81,2.20455,1.07674,1.33271,0.03704,0.2716
"all","SEM","mean_posterior_sd",81,7.00896,1.94719,1.96705,0,0.03704
"all","SEM","rms_posterior_sd",81,7.025,1.94947,1.98179,0,0.03704
"C1-C3","SEE","empirical_se_mean",33,0.56752,0.67472,0.81271,0.12121,0.51515
"C1-C3","SEE","rmse_se_mean",33,0.9813,0.7213,0.85608,0.24242,0.45455
"C1-C3","SEE","mean_abs_error_se_mean",33,0.85159,0.78697,0.87389,0.15152,0.45455
"C1-C3","SEE","empirical_sd",33,8.02598,2.08268,2.44827,0,0
"C1-C3","SEE","mean_abs_error",33,12.04337,2.48851,2.79139,0,0
"C1-C3","SEE","rmse",33,13.87768,2.63028,2.93902,0,0
"C1-C3","SEM","mean_posterior_sd_se_mean",33,0.6125,0.4902,0.69745,0.12121,0.69697
"C1-C3","SEM","rms_posterior_sd_se_mean",33,0.61763,0.48751,0.69911,0.12121,0.72727
"C1-C3","SEM","sqrt_mean_posterior_variance_over_n",33,0.61763,0.48751,0.69911,0.12121,0.72727
"C1-C3","SEM","mean_posterior_variance",33,4.35529,1.47139,1.56578,0,0.27273
"C1-C3","SEM","mean_posterior_sd",33,8.66208,2.15895,2.26368,0,0
"C1-C3","SEM","rms_posterior_sd",33,8.73461,2.16729,2.2922,0,0
"C4","SEE","empirical_sd",24,2.78478,1.02406,1.30868,0,0.16667
"C4","SEE","mean_abs_error",24,2.7831,1.02354,1.38275,0.04167,0.29167
"C4","SEE","rmse_se_mean",24,0.24592,1.40275,1.45018,0.125,0.16667
"C4","SEE","rmse",24,3.47783,1.24641,1.55589,0,0.125
"C4","SEE","empirical_se_mean",24,0.19691,1.6251,1.62696,0.08333,0.16667
"C4","SEE","mean_abs_error_se_mean",24,0.19679,1.62562,1.64832,0.16667,0.16667
"C4","SEM","mean_posterior_variance",24,0.40986,0.96703,1.18587,0.04167,0.20833
