Wrote /Users/licheng/Documents/DiSTect/repro/paper_reproduce/output/sim3_advi_key_comparison_n200.csv 

          setting param target_avgBias   avgBias delta_avgBias target_avgCI
 10 Missing Spots beta1          0.335 0.1715503  -0.163449666        0.950
 10 Missing Spots beta2          0.449 0.2633609  -0.185639081        0.950
 10 Missing Spots beta3          0.465 0.3708313  -0.094168668        0.955
 10 Missing Spots beta4          0.536 0.5157289  -0.020271114        0.965
 10 Missing Spots beta5          0.552 0.6084600   0.056459959        0.935
 10 Missing Spots   eta          0.089 0.3254504   0.236450395        0.955
 30 Missing Spots beta1          0.535 0.2109484  -0.324051574        0.970
 30 Missing Spots beta2          0.796 0.3005452  -0.495454756        0.955
 30 Missing Spots beta3          0.664 0.4069771  -0.257022923        0.950
 30 Missing Spots beta4          0.816 0.5754293  -0.240570654        0.965
 30 Missing Spots beta5          0.787 0.6998646  -0.087135373        0.955
 30 Missing Spots   eta          0.156 0.3532423   0.197242302        0.950
   gamma=(-6,1,4) beta1          0.398 0.1986318  -0.199368202        0.945
   gamma=(-6,1,4) beta2          0.349 0.2669989  -0.082001098        0.940
   gamma=(-6,1,4) beta3          0.489 0.3718448  -0.117155195        0.940
   gamma=(-6,1,4) beta4          0.501 0.5020127   0.001012655        0.955
   gamma=(-6,1,4) beta5          0.471 0.6423658   0.171365818        0.955
   gamma=(-6,1,4)   eta          0.062 0.3245519   0.262551885        0.955
 gamma=(-5,1,1.6) beta1          0.438 0.1716761  -0.266323941        0.950
 gamma=(-5,1,1.6) beta2          0.451 0.2756260  -0.175373998        0.955
 gamma=(-5,1,1.6) beta3          0.511 0.3586096  -0.152390381        0.960
 gamma=(-5,1,1.6) beta4          0.519 0.4959934  -0.023006602        0.955
 gamma=(-5,1,1.6) beta5          0.507 0.6163246   0.109324632        0.925
 gamma=(-5,1,1.6)   eta          0.066 0.3089981   0.242998135        0.950
 avgCI delta_avgCI meanMissing
 0.895      -0.055      10.000
 0.910      -0.040      10.000
 0.915      -0.040      10.000
 0.885      -0.080      10.000
 0.890      -0.045      10.000
 0.865      -0.090      10.000
 0.845      -0.125      30.000
 0.860      -0.095      30.000
 0.855      -0.095      30.000
 0.800      -0.165      30.000
 0.780      -0.175      30.000
 0.880      -0.070      30.000
 0.850      -0.095       4.170
 0.845      -0.095       4.170
 0.860      -0.080       4.170
 0.840      -0.115       4.170
 0.830      -0.125       4.170
 0.865      -0.090       4.170
 0.905      -0.045      11.895
 0.895      -0.060      11.895
 0.890      -0.070      11.895
 0.880      -0.075      11.895
 0.870      -0.055      11.895
 0.915      -0.035      11.895
