"method","N","fit_seconds"
"sparse-ADVI O(N)",500,0.36
"sparse-ADVI O(N)",1000,0.48
"sparse-ADVI O(N)",2000,0.69
"sparse-ADVI O(N)",3000,0.92
"sparse-ADVI O(N)",10000,2.58
"sparse-ADVI O(N)",30000,7.59
"sparse-ADVI O(N)",1e+05,27.59
"dense-ADVI O(N^2)",500,49.09
"dense-ADVI O(N^2)",1000,172.18
"dense-ADVI O(N^2)",2000,627.95
"dense-ADVI O(N^2)",3000,1347.31
"PG-CAVI",500,0.0489999999999999
"PG-CAVI",1000,0.032
"PG-CAVI",2000,0.0489999999999999
"PG-CAVI",3000,0.0920000000000001
"PG-CAVI",10000,0.306
"PG-CAVI",30000,1.047
"PG-CAVI",1e+05,3.355
"PG-CAVI",3e+05,9.957
